,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15570,51.46897,24.0282,325.98,0.38,0.36,2022-03-01,1106,1,VIIRS,n,2.0NRT,273.63,2.79,D
15578,51.46815,24.02277,335.3,0.38,0.36,2022-03-01,1106,1,VIIRS,n,2.0NRT,273.79,5.56,D
38948,45.26096,34.22001,295.64,0.53,0.42,2022-03-01,2320,1,VIIRS,n,2.0NRT,269.17,1.47,N33,51.48602,31.24303,330.85,0.43,0.38,2022-03-04,20,1,VIIRS,n,2.0NRT,273.56,4.18,N
35,51.48264,31.24134,330.66,0.43,0.38,2022-03-04,20,1,VIIRS,n,2.0NRT,272.07,4.18,N
16282,48.10269,22.69162,326.62,0.48,0.64,2022-03-04,1008,1,VIIRS,n,2.0NRT,282.76,4.47,D
27123,48.65936,22.79575,334.61,0.45,0.47,2022-03-04,1151,1,VIIRS,n,2.0NRT,282.73,5.29,D20,47.87059,33.44603,334.23,0.42,0.38,2022-03-05,2,1,VIIRS,n,2.0NRT,269.6,4.54,N
27,46.02188,34.55583,302.58,0.48,0.4,2022-03-05,5,1,VIIRS,n,2.0NRT,271.33,1.05,N
38919,51.52546,31.3688,303.01,0.47,0.39,2022-03-05,2343,1,VIIRS,n,2.0NRT,268.44,0.92,N
38922,47.83269,38.48135,298.21,0.43,0.38,2022-03-05,2343,1,VIIRS,n,2.0NRT,269.4,0.59,N
38926,51.53646,31.33743,310.9,0.47,0.4,2022-03-05,2343,1,VIIRS,n,2.0NRT,267.07,1.66,N
38927,51.52906,31.36988,325.21,0.47,0.39,2022-03-05,2343,1,VIIRS,n,2.0NRT,268.85,2.64,N15639,48.08387,22.96711,335.2,0.39,0.36,2022-03-06,1110,1,VIIRS,n,2.0NRT,287.24,2.12,D
15641,48.02148,23.44145,325.17,0.38,0.36,2022-03-06,1110,1,VIIRS,n,2.0NRT,282.38,1.59,D
15642,48.02631,23.45045,326.78,0.38,0.36,2022-03-06,1110,1,VIIRS,n,2.0NRT,285.89,3.02,D
15645,47.9679,23.91578,327.22,0.38,0.36,2022-03-06,1110,1,VIIRS,n,2.0NRT,284.82,0.89,D
