,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1679,47.83986,38.81536,344.39,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,277.58,6.37,D
1680,47.84311,38.8142,325.93,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,275.36,6.37,D
1683,47.98149,37.46417,337.58,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,277.44,12.83,D
1684,48.38095,39.04574,326.48,0.38,0.36,2022-12-01,1008,1,nominal,2.0NRT,271.88,1.99,D
1685,48.49462,38.80856,329.7,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,272.6,2.81,D
1686,48.47222,37.95219,326.57,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,274.77,3.94,D
1688,48.8183,37.23233,337.51,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,277.66,6.63,D
1689,48.82159,37.23105,325.71,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,272.81,3.18,D
1690,48.82067,37.22577,337.28,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,278.14,6.27,D
1691,48.89806,37.05544,328.04,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,268.38,2.42,D
1692,48.89713,37.05013,328.4,0.4,0.37,2022-12-01,1008,1,nominal,2.0NRT,269.35,2.35,D
1693,49.24667,38.20493,336.72,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,275.93,10.05,D
1694,49.49129,37.93298,327.11,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,270.57,2.56,D
1695,49.49455,37.93174,329.91,0.39,0.36,2022-12-01,1008,1,nominal,2.0NRT,270.41,2.56,D
4909,47.9365,39.30246,299.11,0.5,0.66,2022-12-01,2222,1,nominal,2.0NRT,264.64,1.07,N
5826,48.46141,38.77333,336.15,0.41,0.45,2022-12-02,2,1,nominal,2.0NRT,269.46,8.12,N
5827,48.45893,38.76982,343.83,0.41,0.45,2022-12-02,2,1,nominal,2.0NRT,266.39,8.88,N
5828,47.9359,39.31104,312.16,0.45,0.47,2022-12-02,2,1,nominal,2.0NRT,265.83,2.2,N
5829,47.86161,33.44898,296.12,0.42,0.38,2022-12-02,2,1,nominal,2.0NRT,268.25,0.71,N12,48.46141,38.77333,336.15,0.41,0.45,2022-12-02,2,1,nominal,2.0NRT,269.46,8.12,N
13,48.45893,38.76982,343.83,0.41,0.45,2022-12-02,2,1,nominal,2.0NRT,266.39,8.88,N
14,47.9359,39.31104,312.16,0.45,0.47,2022-12-02,2,1,nominal,2.0NRT,265.83,2.2,N
15,47.86161,33.44898,296.12,0.42,0.38,2022-12-02,2,1,nominal,2.0NRT,268.25,0.71,N
1942,47.14704,38.02253,341.32,0.54,0.42,2022-12-02,947,1,nominal,2.0NRT,278.85,15.83,D
1944,47.75386,36.99753,349.74,0.38,0.44,2022-12-02,947,1,nominal,2.0NRT,277.27,6.26,D
