,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1,48.74994,26.60336,301.91,0.46,0.64,2022-11-01,124,1,nominal,2.0NRT,277.34,1.11,N
10,50.54379,26.2564,315.76,0.39,0.59,2022-11-01,124,1,nominal,2.0NRT,275.99,1.96,N
4455,46.31561,35.11118,347.14,0.41,0.6,2022-11-01,930,1,nominal,2.0NRT,284.88,4.58,D
4456,46.32076,35.10806,344.48,0.41,0.6,2022-11-01,930,1,nominal,2.0NRT,285.77,7.73,D
4457,46.31507,35.10886,356.12,0.41,0.6,2022-11-01,930,1,low,2.0NRT,289.12,6.64,D
4458,46.32021,35.10572,333.67,0.41,0.6,2022-11-01,930,1,nominal,2.0NRT,286.11,6.64,D
4459,47.62794,34.32849,332.36,0.4,0.6,2022-11-01,930,1,nominal,2.0NRT,282.86,6.35,D
4460,47.62646,34.32359,326.02,0.4,0.6,2022-11-01,930,1,nominal,2.0NRT,283.28,4.08,D
4461,48.53277,34.64754,335.62,0.36,0.58,2022-11-01,930,1,nominal,2.0NRT,283.51,3.58,D
4463,48.11142,29.67597,350.95,0.6,0.71,2022-11-01,930,1,nominal,2.0NRT,288.19,8.07,D
4464,48.11251,29.67571,346.85,0.6,0.71,2022-11-01,930,1,nominal,2.0NRT,286.94,6.21,D
4465,50.08397,32.83086,329.28,0.38,0.59,2022-11-01,932,1,nominal,2.0NRT,280.19,1.91,D
4468,51.1395,30.80832,328.88,0.42,0.61,2022-11-01,932,1,nominal,2.0NRT,280.05,3.66,D
4469,51.20293,28.65565,346.99,0.51,0.66,2022-11-01,932,1,nominal,2.0NRT,281.63,8.18,D
4470,51.20513,28.65536,354.5,0.51,0.66,2022-11-01,932,1,nominal,2.0NRT,281.61,8.38,D
4471,51.40631,28.79491,336.79,0.5,0.65,2022-11-01,932,1,nominal,2.0NRT,279.89,5.47,D
4472,51.40347,28.79713,336.06,0.5,0.65,2022-11-01,932,1,nominal,2.0NRT,279.71,4.27,D
4664,46.27236,34.6007,327.12,0.54,0.51,2022-11-01,1110,1,nominal,2.0NRT,287.18,3.65,D
4665,46.26997,34.601,328.2,0.54,0.51,2022-11-01,1110,1,nominal,2.0NRT,287.07,2.48,D
4666,46.39066,34.64295,336.46,0.54,0.51,2022-11-01,1110,1,nominal,2.0NRT,286.59,5.75,D
4669,47.38515,35.51263,335.53,0.61,0.53,2022-11-01,1110,1,nominal,2.0NRT,282.64,5.67,D
4670,47.38638,35.51357,335.78,0.61,0.53,2022-11-01,1110,1,nominal,2.0NRT,283.42,5.17,D
4671,47.86775,33.44619,331.96,0.49,0.49,2022-11-01,1110,1,nominal,2.0NRT,285.72,2.82,D
4673,48.83905,30.90232,355,0.39,0.44,2022-11-01,1110,1,nominal,2.0NRT,290.55,8.07,D
4674,49.41609,30.44787,344.86,0.57,0.43,2022-11-01,1113,1,nominal,2.0NRT,289.82,15.53,D
4675,49.42265,30.43058,354.27,0.57,0.43,2022-11-01,1113,1,nominal,2.0NRT,290.56,18.83,D
4676,49.76936,32.29728,327.79,0.46,0.47,2022-11-01,1113,1,nominal,2.0NRT,282.05,3.11,D
4677,49.88583,32.25658,325.43,0.46,0.47,2022-11-01,1113,1,nominal,2.0NRT,283.23,3.44,D
4678,50.15583,32.12335,337.44,0.46,0.47,2022-11-01,1113,1,nominal,2.0NRT,283.66,3.52,D
7778,50.54345,26.25785,314.14,0.38,0.59,2022-11-01,2324,1,nominal,2.0NRT,281.06,2.27,N
7779,47.87641,35.15562,334.2,0.46,0.39,2022-11-01,2326,1,nominal,2.0NRT,270.94,6.54,N
7780,47.87542,33.41281,297.47,0.52,0.42,2022-11-01,2326,1,nominal,2.0NRT,278.03,1.54,N
7781,47.86951,33.43296,297.15,0.52,0.42,2022-11-01,2326,1,nominal,2.0NRT,274.41,0.76,N
7782,47.86569,33.43209,335.32,0.52,0.42,2022-11-01,2326,1,nominal,2.0NRT,277.68,6.94,N
7783,47.8675,33.43309,332.64,0.52,0.42,2022-11-01,2326,1,nominal,2.0NRT,278.51,6.24,N
7784,48.0292,29.47559,298.71,0.52,0.5,2022-11-01,2326,1,nominal,2.0NRT,277.66,1.04,N
7804,45.29501,28.93766,297.56,0.51,0.5,2022-11-01,2326,1,nominal,2.0NRT,277,0.91,N
7805,44.77444,33.85973,295.07,0.47,0.39,2022-11-01,2326,1,nominal,2.0NRT,273.81,0.89,N4621,45.28425,28.93686,343.94,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,291.66,18.04,D
4623,45.28828,28.94067,334.45,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,292.25,7.9,D
4624,45.28751,28.93583,339.04,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,301.97,18.04,D
4626,45.29154,28.93963,332.36,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,294.76,6.31,D
4628,45.29077,28.9348,333.42,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,289.51,4.88,D
4633,45.29556,28.94343,349.43,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,291.1,6.31,D
4635,45.45529,29.13299,330.45,0.38,0.36,2022-11-02,1051,1,nominal,2.0NRT,290.09,2.78,D
4636,45.45454,29.12814,353.02,0.38,0.36,2022-11-02,1051,1,nominal,2.0NRT,290.23,11.28,D
4637,45.45855,29.13196,331.11,0.38,0.36,2022-11-02,1051,1,nominal,2.0NRT,291.32,2.22,D
4643,46.36521,34.66022,342.74,0.5,0.41,2022-11-02,1051,1,nominal,2.0NRT,289.38,7.43,D
4644,46.51752,30.67133,329.6,0.39,0.36,2022-11-02,1051,1,nominal,2.0NRT,291.74,2.92,D
4645,48.00388,30.62826,327.33,0.4,0.37,2022-11-02,1051,1,nominal,2.0NRT,285.35,3.94,D
6826,48.69864,38.06775,301.86,0.54,0.42,2022-11-02,2305,1,nominal,2.0NRT,272.56,1.22,N
6827,48.46751,38.75555,297.52,0.51,0.41,2022-11-02,2305,1,nominal,2.0NRT,276.1,1.52,N
6828,48.46375,38.75468,313.34,0.51,0.41,2022-11-02,2305,1,nominal,2.0NRT,276.33,1.52,N
6829,48.53531,34.64531,328.01,0.5,0.49,2022-11-02,2305,1,nominal,2.0NRT,283.01,3.28,N
6830,48.53577,34.63844,300.06,0.5,0.49,2022-11-02,2305,1,nominal,2.0NRT,279.41,3.28,N
6831,48.10065,37.92421,303.24,0.54,0.42,2022-11-02,2305,1,nominal,2.0NRT,275.12,1.34,N
6832,47.95433,37.83991,296.07,0.54,0.42,2022-11-02,2305,1,nominal,2.0NRT,275.57,1.04,N
6833,47.83239,38.4731,300.85,0.51,0.41,2022-11-02,2305,1,nominal,2.0NRT,276.18,1.37,N
6834,47.83268,38.47406,298.32,0.51,0.41,2022-11-02,2305,1,nominal,2.0NRT,275.98,1.32,N
7391,50.23073,33.40187,333.32,0.59,0.53,2022-11-02,2305,1,nominal,2.0NRT,269.71,4.89,N
7392,50.01586,34.07211,295.42,0.55,0.51,2022-11-02,2305,1,nominal,2.0NRT,271.32,0.71,N
7393,49.40504,37.85833,296.06,0.56,0.43,2022-11-02,2305,1,nominal,2.0NRT,271.87,0.85,N
7394,49.12072,38.09924,326.17,0.54,0.42,2022-11-02,2305,1,nominal,2.0NRT,273.56,3.58,N
7395,49.08461,35.44981,306.8,0.47,0.48,2022-11-02,2305,1,nominal,2.0NRT,271.63,0.95,N1,49.12031,38.0971,302.3,0.54,0.68,2022-11-03,45,1,nominal,2.0NRT,272.02,1,N
2,49.12056,38.09826,301.28,0.54,0.68,2022-11-03,45,1,nominal,2.0NRT,271.76,1.11,N
3,50.31053,33.90105,329.39,0.33,0.55,2022-11-03,45,1,nominal,2.0NRT,273.08,2.82,N
4,48.52038,34.63088,301.71,0.41,0.6,2022-11-03,45,1,nominal,2.0NRT,275.48,1.43,N
5,48.74725,26.60625,298.93,0.56,0.43,2022-11-03,45,1,nominal,2.0NRT,273.45,1.08,N
6,45.51926,29.48865,295.39,0.6,0.53,2022-11-03,48,1,nominal,2.0NRT,278,0.73,N
5295,45.32411,28.84638,339.05,0.5,0.41,2022-11-03,1032,1,nominal,2.0NRT,294.62,39.23,D
5296,45.32771,28.84492,306.9,0.5,0.41,2022-11-03,1032,1,low,2.0NRT,312.42,39.23,D
5297,45.33899,28.69938,331.08,0.5,0.41,2022-11-03,1032,1,nominal,2.0NRT,292.75,12.08,D
5298,45.50235,29.48761,326.51,0.47,0.39,2022-11-03,1032,1,nominal,2.0NRT,294.74,2.78,D
5300,46.79939,35.58432,328.8,0.4,0.37,2022-11-03,1032,1,nominal,2.0NRT,290.03,2.38,D
5301,46.77253,35.38902,328.74,0.39,0.37,2022-11-03,1032,1,nominal,2.0NRT,287.29,2.01,D
5305,47.92506,29.50737,339.59,0.43,0.38,2022-11-03,1034,1,nominal,2.0NRT,286.6,3.88,D
5306,47.92846,29.50599,329.34,0.43,0.38,2022-11-03,1034,1,nominal,2.0NRT,285.47,4.51,D
5307,47.92964,29.50407,335.38,0.43,0.38,2022-11-03,1034,1,nominal,2.0NRT,285.97,6.06,D
5308,48.04418,29.78615,344.73,0.42,0.38,2022-11-03,1034,1,nominal,2.0NRT,294.31,15.65,D
5309,48.04316,29.78064,328.76,0.42,0.38,2022-11-03,1034,1,nominal,2.0NRT,285.66,10.28,D
5310,48.08685,29.49717,327.1,0.43,0.38,2022-11-03,1034,1,nominal,2.0NRT,286.99,2.4,D
7159,45.34655,28.70428,304.87,0.77,0.78,2022-11-03,2248,1,nominal,2.0NRT,274.9,3.21,N
7160,45.34502,28.6995,309.71,0.77,0.78,2022-11-03,2248,1,nominal,2.0NRT,274.56,2.44,N
8199,48.74785,26.60539,305.29,0.4,0.37,2022-11-04,28,1,nominal,2.0NRT,277.25,1.47,N
8206,45.34642,28.71058,331.71,0.52,0.41,2022-11-04,28,1,nominal,2.0NRT,280.52,10.06,N3,48.74785,26.60539,305.29,0.4,0.37,2022-11-04,28,1,nominal,2.0NRT,277.25,1.47,N
10,45.34642,28.71058,331.71,0.52,0.41,2022-11-04,28,1,nominal,2.0NRT,280.52,10.06,N
5822,45.31172,28.52423,331.76,0.54,0.51,2022-11-04,1013,1,nominal,2.0NRT,283.93,2.77,D
5823,45.31016,28.52414,328.48,0.54,0.51,2022-11-04,1013,1,nominal,2.0NRT,283.37,2.61,D
5824,47.14093,33.26792,328.27,0.47,0.4,2022-11-04,1013,1,nominal,2.0NRT,287.12,1.98,D
5827,48.09467,29.7451,333.01,0.41,0.45,2022-11-04,1013,1,nominal,2.0NRT,288.23,3.32,D
5828,48.44854,28.87132,329.29,0.43,0.46,2022-11-04,1013,1,nominal,2.0NRT,289.07,2.74,D
8937,47.86856,33.42468,298.76,0.78,0.78,2022-11-04,2227,1,nominal,2.0NRT,274.68,1.24,N
8938,47.86774,33.42529,299.71,0.78,0.78,2022-11-04,2227,1,nominal,2.0NRT,274.78,1.14,N129,51.39481,30.84101,299.09,0.39,0.36,2022-11-05,7,1,nominal,2.0NRT,275.82,0.55,N
130,47.87692,35.15815,304.81,0.53,0.42,2022-11-05,7,1,nominal,2.0NRT,278.68,1.72,N
131,47.8751,35.15698,307.42,0.54,0.42,2022-11-05,7,1,nominal,2.0NRT,279.43,1.78,N
132,47.86179,35.14291,299.56,0.53,0.42,2022-11-05,7,1,nominal,2.0NRT,279.5,2.25,N
133,47.8749,33.41813,332.7,0.47,0.39,2022-11-05,9,1,nominal,2.0NRT,279.58,2.39,N
134,47.87611,33.41211,298.4,0.47,0.39,2022-11-05,9,1,nominal,2.0NRT,278.3,2.39,N
135,47.86776,33.43462,324.82,0.47,0.39,2022-11-05,9,1,nominal,2.0NRT,277.75,1.92,N
136,48.74963,26.60419,301.13,0.4,0.37,2022-11-05,9,1,nominal,2.0NRT,272.15,1.01,N
137,47.12891,30.12747,325.22,0.4,0.37,2022-11-05,9,1,nominal,2.0NRT,278.98,2.24,N
143,44.77245,33.85969,300.01,0.55,0.43,2022-11-05,9,1,nominal,2.0NRT,275.39,1.03,N
8272,47.87357,35.16126,338.65,0.39,0.44,2022-11-05,956,1,nominal,2.0NRT,279.07,2.43,D
8273,47.86561,33.43558,337.96,0.46,0.47,2022-11-05,956,1,nominal,2.0NRT,286.68,3.97,D
8274,47.86364,33.43584,334.47,0.46,0.47,2022-11-05,956,1,nominal,2.0NRT,285.42,5.16,D
8421,47.06369,32.67385,347.2,0.45,0.63,2022-11-05,1136,1,nominal,2.0NRT,285.64,4.87,D
11887,45.23251,33.57712,296.79,0.39,0.36,2022-11-05,2350,1,nominal,2.0NRT,274.19,0.98,N
11888,44.77498,33.85909,298.93,0.4,0.37,2022-11-05,2352,1,nominal,2.0NRT,269.06,0.34,N4725,46.65311,35.56154,328.44,0.32,0.55,2022-11-06,936,1,nominal,2.0NRT,283.34,1.47,D
8598,45.51796,29.46353,295.25,0.41,0.45,2022-11-06,2333,1,nominal,2.0NRT,278.8,0.73,N4798,46.06551,33.42154,334.23,0.51,0.41,2022-11-07,1057,1,nominal,2.0NRT,286.5,19.9,D
4799,46.06482,33.4149,334.85,0.51,0.41,2022-11-07,1057,1,nominal,2.0NRT,286.17,5.1,D
4800,46.06929,33.42075,353.46,0.51,0.41,2022-11-07,1057,1,nominal,2.0NRT,292.87,19.9,D
4801,46.0686,33.4141,333.81,0.51,0.41,2022-11-07,1057,1,nominal,2.0NRT,285.21,5.1,D
4802,46.07227,33.41956,340.36,0.51,0.41,2022-11-07,1057,1,nominal,2.0NRT,285.82,7.19,D
4803,46.27712,34.60495,335.1,0.39,0.44,2022-11-07,1057,1,nominal,2.0NRT,284.67,2.46,D
4804,46.27666,34.59993,337.65,0.39,0.44,2022-11-07,1057,1,nominal,2.0NRT,287.36,3.55,D
4805,46.21022,33.41697,333.86,0.52,0.41,2022-11-07,1057,1,nominal,2.0NRT,291.56,16.09,D
4806,46.19413,32.44411,328.21,0.47,0.4,2022-11-07,1057,1,nominal,2.0NRT,284.61,3.53,D
4807,46.19358,32.44313,328.79,0.47,0.4,2022-11-07,1057,1,nominal,2.0NRT,286.12,1.82,D
4808,46.57251,34.45983,337.02,0.38,0.43,2022-11-07,1057,1,nominal,2.0NRT,286.6,6.23,D
4809,46.57697,34.46409,330.99,0.38,0.43,2022-11-07,1057,1,nominal,2.0NRT,287.6,4.79,D
4810,46.5765,34.45908,355.25,0.38,0.43,2022-11-07,1057,1,nominal,2.0NRT,290.77,6.23,D
4811,46.57604,34.45406,356.38,0.38,0.43,2022-11-07,1057,1,low,2.0NRT,289.06,6.23,D
4812,46.58049,34.45832,340.39,0.38,0.43,2022-11-07,1057,1,nominal,2.0NRT,288.42,4.51,D
4813,46.58003,34.45331,338.09,0.38,0.43,2022-11-07,1057,1,nominal,2.0NRT,286.82,4.51,D
4814,46.0424,29.28014,329.14,0.39,0.37,2022-11-07,1057,1,nominal,2.0NRT,288.87,3.15,D
4816,47.8193,34.51213,329.03,0.4,0.44,2022-11-07,1057,1,nominal,2.0NRT,276.95,2.6,D
4817,48.03456,35.05247,339.7,0.42,0.45,2022-11-07,1057,1,nominal,2.0NRT,281.59,5,D
4818,48.52998,34.64887,337.84,0.41,0.45,2022-11-07,1057,1,nominal,2.0NRT,285.51,5.15,D
4819,48.47723,29.99926,343.93,0.42,0.38,2022-11-07,1057,1,nominal,2.0NRT,287.42,8.51,D
4820,48.4841,29.99734,328.37,0.42,0.38,2022-11-07,1057,1,nominal,2.0NRT,283.75,4.92,D
4821,48.48339,29.99164,338.57,0.42,0.38,2022-11-07,1057,1,nominal,2.0NRT,286.96,7.28,D
4822,48.58254,28.59809,335.29,0.4,0.37,2022-11-07,1057,1,nominal,2.0NRT,285.48,3.89,D
7294,50.01446,34.0739,300.88,0.47,0.48,2022-11-07,2311,1,nominal,2.0NRT,271.17,0.66,N
7295,49.52336,37.9573,311.07,0.49,0.4,2022-11-07,2311,1,nominal,2.0NRT,271.87,2.28,N
7297,48.53509,34.6446,336.94,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,277.79,3.76,N
7298,48.53463,34.65043,315.95,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,279.7,3.76,N
7299,48.53089,34.64386,333.7,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,272.08,3.76,N
7300,48.53321,34.61469,297.28,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,275.58,1.12,N
7301,48.53042,34.64968,316.14,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,274.27,3.76,N
7302,48.53054,34.6492,329.24,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,273.94,3.47,N
7303,48.51942,34.62935,312.19,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,272.92,1.91,N
7304,48.47263,34.62759,300.85,0.43,0.46,2022-11-07,2311,1,nominal,2.0NRT,274.02,1.24,N
7305,47.83275,38.47431,297.63,0.45,0.39,2022-11-07,2311,1,nominal,2.0NRT,274.55,1.02,N
7306,47.8786,35.18575,335.93,0.4,0.44,2022-11-07,2311,1,nominal,2.0NRT,271.47,3.86,N
7307,47.87813,35.19109,303.4,0.4,0.44,2022-11-07,2311,1,nominal,2.0NRT,271.36,3.06,N
7308,47.87738,35.15269,336.61,0.4,0.44,2022-11-07,2311,1,nominal,2.0NRT,277.45,7.36,N
7309,47.86903,33.42852,304.45,0.48,0.48,2022-11-07,2311,1,nominal,2.0NRT,271.38,1.55,N
7310,47.86507,33.43358,298.55,0.47,0.48,2022-11-07,2311,1,nominal,2.0NRT,272.41,0.82,N
7315,45.51669,29.46353,298.29,0.35,0.57,2022-11-07,2313,1,nominal,2.0NRT,274.06,0.75,N
8093,50.01268,34.07112,307.69,0.4,0.6,2022-11-08,52,1,nominal,2.0NRT,270.98,0.73,N
8094,48.51946,34.62632,296.31,0.47,0.64,2022-11-08,52,1,nominal,2.0NRT,271.92,0.76,N1,50.01268,34.07112,307.69,0.4,0.6,2022-11-08,52,1,nominal,2.0NRT,270.98,0.73,N
2,48.51946,34.62632,296.31,0.47,0.64,2022-11-08,52,1,nominal,2.0NRT,271.92,0.76,N
3987,44.87418,34.2927,344.27,0.39,0.36,2022-11-08,1038,1,nominal,2.0NRT,292.32,5.03,D
3988,44.87748,34.29179,326.58,0.39,0.36,2022-11-08,1038,1,nominal,2.0NRT,290.37,5.03,D
4006,45.21487,34.02628,333.24,0.39,0.36,2022-11-08,1038,1,nominal,2.0NRT,287.82,3.21,D
4009,45.92317,29.68651,335.64,0.41,0.37,2022-11-08,1038,1,nominal,2.0NRT,288.04,6.26,D
