,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
14783,49.42709,23.23723,336.51,0.6,0.53,2022-05-01,1021,1,VIIRS,n,2.0NRT,295.17,6.58,D
16702,49.42928,23.23229,340.03,0.33,0.55,2022-05-01,1202,1,VIIRS,n,2.0NRT,295.43,4.33,D
16703,49.42949,23.23696,327.12,0.33,0.55,2022-05-01,1202,1,VIIRS,n,2.0NRT,296.08,4.76,D
16704,49.32893,24.45974,338.36,0.37,0.58,2022-05-01,1202,1,VIIRS,n,2.0NRT,290.53,2.81,D
16706,49.11496,24.8483,335.25,0.39,0.59,2022-05-01,1202,1,VIIRS,n,2.0NRT,296.31,5.55,D
16710,48.61386,25.44053,353.75,0.41,0.61,2022-05-01,1202,1,VIIRS,n,2.0NRT,293.4,9.99,D
16711,48.60837,25.44636,367,0.41,0.61,2022-05-01,1202,1,VIIRS,h,2.0NRT,290.22,9.99,D
16744,48.45257,26.26064,346.78,0.45,0.63,2022-05-01,1202,1,VIIRS,n,2.0NRT,289.97,6.43,D
16745,48.45948,26.63017,330.12,0.47,0.64,2022-05-01,1202,1,VIIRS,n,2.0NRT,293.59,1.47,D
16746,48.24015,22.57832,336.88,0.6,0.53,2022-05-01,1202,1,VIIRS,n,2.0NRT,292.95,10.15,D
16747,48.24055,22.58654,340.06,0.6,0.53,2022-05-01,1202,1,VIIRS,n,2.0NRT,293.54,10.15,D
16748,48.24372,22.58519,340.22,0.6,0.53,2022-05-01,1202,1,VIIRS,n,2.0NRT,293.65,10.4,D
16749,48.15319,23.6148,344.55,0.34,0.56,2022-05-01,1202,1,VIIRS,n,2.0NRT,297.48,4.34,D
16750,48.15339,23.6193,346.54,0.34,0.56,2022-05-01,1202,1,VIIRS,n,2.0NRT,294.52,4.34,D
16759,50.13042,26.5984,345.34,0.47,0.64,2022-05-01,1202,1,VIIRS,n,2.0NRT,302.91,10.04,D
26392,48.62845,38.3685,299.32,0.39,0.6,2022-05-01,2233,1,VIIRS,n,2.0NRT,275.92,0.81,N
26394,48.4837,38.77582,296.71,0.38,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,277.92,1.1,N
26395,48.48354,38.78093,295.87,0.38,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,277.5,1.11,N
26396,48.48199,38.78027,305,0.37,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,277.78,1.47,N
26397,48.46649,38.75871,299.9,0.38,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,279.7,1.44,N
26398,48.4607,38.76856,295.43,0.38,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,275.42,1.21,N
26399,48.46052,38.7736,310.63,0.38,0.58,2022-05-01,2233,1,VIIRS,n,2.0NRT,276.94,1.45,N
26400,48.2907,38.08882,296.11,0.4,0.6,2022-05-01,2233,1,VIIRS,n,2.0NRT,277.57,0.51,N
26401,48.10123,37.91672,317.57,0.41,0.61,2022-05-01,2233,1,VIIRS,n,2.0NRT,276.33,1.18,N
26402,48.10108,37.92225,296.02,0.41,0.61,2022-05-01,2233,1,VIIRS,n,2.0NRT,277.66,1.18,N
26403,48.09799,37.91933,316.62,0.41,0.61,2022-05-01,2233,1,VIIRS,n,2.0NRT,276,2.03,N
26404,48.06316,37.95525,296.86,0.41,0.6,2022-05-01,2233,1,VIIRS,n,2.0NRT,279.39,0.6,N
26481,47.83677,38.47775,297.99,0.38,0.59,2022-05-01,2235,1,VIIRS,n,2.0NRT,277.91,0.99,N74,49.97868,27.12298,305.19,0.39,0.36,2022-05-02,16,1,VIIRS,n,2.0NRT,274.56,0.64,N
75,49.97511,27.1254,308.15,0.39,0.36,2022-05-02,16,1,VIIRS,n,2.0NRT,274.97,1.16,N
78,48.47371,34.63018,306.95,0.57,0.43,2022-05-02,16,1,VIIRS,n,2.0NRT,281.7,2.14,N
79,47.82806,36.57505,298.85,0.47,0.48,2022-05-02,16,1,VIIRS,n,2.0NRT,277.39,1.28,N
80,49.14382,29.72956,322.65,0.4,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,271.83,1.71,N
81,49.14287,29.7349,309.7,0.4,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,273.61,1.71,N
82,49.14149,29.72283,298.27,0.4,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,272.53,0.51,N
85,47.87743,35.19021,296.78,0.41,0.45,2022-05-02,16,1,VIIRS,n,2.0NRT,269.8,0.87,N
86,49.30246,26.6995,298.5,0.39,0.36,2022-05-02,16,1,VIIRS,n,2.0NRT,276.56,1.19,N
87,49.54152,24.68855,299.37,0.41,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,279.02,0.84,N
88,49.3252,24.43673,319.12,0.42,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,276.01,2.01,N
89,48.16465,30.61719,298.27,0.43,0.38,2022-05-02,16,1,VIIRS,n,2.0NRT,279.52,0.76,N
90,48.97679,24.71227,303.74,0.41,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,281.47,1.48,N
104,44.77314,33.85984,299.48,0.43,0.46,2022-05-02,16,1,VIIRS,n,2.0NRT,278.42,1.03,N
113,50.54474,26.26339,310.05,0.39,0.37,2022-05-02,16,1,VIIRS,n,2.0NRT,282.24,1.69,N
