,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
226,51.18841,34.88745,299.98,0.5,0.41,2022-08-22,13,1,nominal,2.0NRT,282.89,2.15,N
227,51.18632,34.87862,315.75,0.5,0.41,2022-08-22,13,1,nominal,2.0NRT,280.21,2.6,N
235,51.39094,29.49216,322.79,0.39,0.36,2022-08-22,13,1,nominal,2.0NRT,291.36,1.7,N
236,51.39184,29.48673,305.65,0.39,0.36,2022-08-22,13,1,nominal,2.0NRT,288.84,1.7,N
237,49.95216,34.40865,310.54,0.52,0.41,2022-08-22,13,1,nominal,2.0NRT,287.15,1.59,N
238,48.92466,38.24607,299.05,0.51,0.5,2022-08-22,13,1,nominal,2.0NRT,287.31,0.64,N
239,48.46916,38.76194,300.27,0.56,0.51,2022-08-22,13,1,nominal,2.0NRT,288.28,0.96,N
240,48.46476,38.75922,300.16,0.56,0.51,2022-08-22,13,1,nominal,2.0NRT,288.83,0.96,N
241,48.52778,38.06409,301.54,0.52,0.5,2022-08-22,13,1,nominal,2.0NRT,287.17,0.62,N
242,48.55516,37.92044,298.8,0.51,0.49,2022-08-22,13,1,nominal,2.0NRT,286.66,0.96,N
243,48.5509,37.91788,308.28,0.51,0.49,2022-08-22,13,1,nominal,2.0NRT,286.64,0.96,N
248,48.33287,37.83656,307.09,0.51,0.5,2022-08-22,13,1,nominal,2.0NRT,288.56,1.53,N
250,48.13597,36.87079,301.49,0.47,0.48,2022-08-22,13,1,nominal,2.0NRT,288.28,0.71,N
251,48.47186,34.63064,303.19,0.57,0.43,2022-08-22,13,1,nominal,2.0NRT,289.8,1.69,N
252,47.96421,36.62605,302.3,0.47,0.48,2022-08-22,13,1,nominal,2.0NRT,288.03,1.02,N
256,47.37593,37.95061,308.73,0.55,0.51,2022-08-22,13,1,nominal,2.0NRT,288.28,1.39,N
258,47.2707,38.30392,297.76,0.58,0.52,2022-08-22,13,1,nominal,2.0NRT,286.82,0.48,N
261,47.87786,35.15527,301.91,0.41,0.45,2022-08-22,13,1,nominal,2.0NRT,288.84,0.63,N
262,47.87665,35.16045,302.33,0.41,0.45,2022-08-22,13,1,nominal,2.0NRT,289.45,1.08,N
263,47.86614,35.14913,316.27,0.41,0.45,2022-08-22,13,1,nominal,2.0NRT,291.52,1.87,N
264,47.12334,37.99965,307.25,0.56,0.52,2022-08-22,13,1,nominal,2.0NRT,289.1,1.66,N
265,47.33891,37.09678,305.19,0.51,0.49,2022-08-22,13,1,nominal,2.0NRT,288.5,1.8,N
266,47.33461,37.09448,314.77,0.51,0.49,2022-08-22,13,1,nominal,2.0NRT,288.56,1.8,N
267,47.33032,37.09217,303.22,0.51,0.49,2022-08-22,13,1,nominal,2.0NRT,288.61,1.2,N
271,47.348,36.64103,300.57,0.49,0.48,2022-08-22,16,1,nominal,2.0NRT,288.63,1.23,N
272,47.34455,36.6377,300.7,0.49,0.48,2022-08-22,16,1,nominal,2.0NRT,288.52,1.2,N
274,47.8738,33.43591,304.94,0.52,0.42,2022-08-22,16,1,nominal,2.0NRT,289.83,0.84,N
275,47.87454,33.41398,321.6,0.52,0.42,2022-08-22,16,1,nominal,2.0NRT,290.7,2.68,N
276,47.87482,33.4359,300.88,0.53,0.42,2022-08-22,16,1,nominal,2.0NRT,289.37,1.22,N
277,47.87548,33.41391,319.57,0.52,0.42,2022-08-22,16,1,nominal,2.0NRT,291.33,3.14,N
278,48.48986,29.08437,303.78,0.39,0.37,2022-08-22,16,1,nominal,2.0NRT,288.51,0.5,N
279,48.48896,29.08958,299.26,0.39,0.37,2022-08-22,16,1,nominal,2.0NRT,288.45,0.7,N
287,47.32774,33.58368,298.97,0.55,0.42,2022-08-22,16,1,nominal,2.0NRT,288.5,0.58,N
291,46.64836,34.1594,302.56,0.4,0.44,2022-08-22,16,1,nominal,2.0NRT,289.19,0.58,N
294,46.87251,31.1882,321.44,0.46,0.39,2022-08-22,16,1,nominal,2.0NRT,290.25,1.89,N
299,46.08409,30.40332,321.43,0.45,0.39,2022-08-22,16,1,nominal,2.0NRT,292.34,1.78,N
301,44.77156,33.86228,304.91,0.43,0.46,2022-08-22,16,1,nominal,2.0NRT,291.03,1.37,N
2497,46.91499,36.9478,348.3,0.46,0.39,2022-08-22,1002,1,nominal,2.0NRT,302.11,8.45,D
2498,46.91849,36.94633,337.08,0.46,0.39,2022-08-22,1002,1,nominal,2.0NRT,299.31,11.53,D
