,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
91,49.78143,24.68006,312.22,0.42,0.37,2022-03-19,39,1,VIIRS,n,2.0NRT,261.49,1.42,N
95,50.6217,30.35923,301.58,0.4,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,267.5,1.11,N
97,50.64207,31.03022,302.41,0.43,0.46,2022-03-19,39,1,VIIRS,n,2.0NRT,264.7,1.24,N
99,51.34978,28.97801,299.1,0.52,0.41,2022-03-19,39,1,VIIRS,n,2.0NRT,259.86,1.54,N
100,51.3857,31.36954,334.68,0.42,0.45,2022-03-19,39,1,VIIRS,n,2.0NRT,268.91,2.42,N
102,51.49824,31.07159,318.58,0.41,0.45,2022-03-19,39,1,VIIRS,n,2.0NRT,269.92,3.3,N
105,50.62041,30.36466,303,0.4,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,269.57,1.11,N
107,49.56346,24.17326,295.37,0.41,0.37,2022-03-19,39,1,VIIRS,n,2.0NRT,263.26,0.41,N
118,51.20137,31.35108,320.56,0.42,0.46,2022-03-19,39,1,VIIRS,n,2.0NRT,260.2,1.85,N
124,51.53477,31.33898,314.43,0.42,0.45,2022-03-19,39,1,VIIRS,n,2.0NRT,266.55,1.74,N
137,50.54351,30.26394,297.36,0.4,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,265.67,0.51,N
138,50.49653,29.73973,335.22,0.38,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,268.12,6.23,N
139,50.83839,29.74422,321.6,0.57,0.43,2022-03-19,39,1,VIIRS,n,2.0NRT,265.59,6.63,N
140,50.46467,29.83164,311.25,0.39,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,265.33,1.63,N
142,50.46207,29.82426,324.17,0.39,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,266.04,1.63,N
149,50.64297,31.0314,323.43,0.43,0.46,2022-03-19,39,1,VIIRS,n,2.0NRT,265.52,2.49,N
150,50.49373,29.74269,339.41,0.38,0.44,2022-03-19,39,1,VIIRS,n,2.0NRT,274.58,11.91,N
151,50.84014,29.73659,324.63,0.57,0.43,2022-03-19,39,1,VIIRS,n,2.0NRT,262.53,6.86,N
