,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
96,49.22511,38.21768,302.35,0.4,0.6,2022-04-15,35,1,VIIRS,n,2.0NRT,275.76,0.76,N
97,51.89098,25.89352,297.11,0.39,0.36,2022-04-15,35,1,VIIRS,n,2.0NRT,269.31,0.37,N
109,48.466,38.76191,299.69,0.44,0.63,2022-04-15,35,1,VIIRS,n,2.0NRT,279.18,1.29,N
110,51.06052,28.49914,295.74,0.45,0.39,2022-04-15,35,1,VIIRS,n,2.0NRT,271.05,0.27,N
111,51.05237,28.50186,301.95,0.45,0.39,2022-04-15,35,1,VIIRS,n,2.0NRT,271.66,0.84,N
112,48.16686,37.70346,297.13,0.41,0.61,2022-04-15,35,1,VIIRS,n,2.0NRT,276.89,0.93,N
115,49.46393,31.44917,296.65,0.41,0.45,2022-04-15,35,1,VIIRS,n,2.0NRT,271.96,0.43,N
116,50.54305,26.26257,305.51,0.41,0.37,2022-04-15,35,1,VIIRS,n,2.0NRT,279.34,0.94,N
117,48.52409,34.62532,296.34,0.59,0.53,2022-04-15,35,1,VIIRS,n,2.0NRT,278.06,1.49,N
142,48.97432,24.71126,304.17,0.4,0.37,2022-04-15,35,1,VIIRS,n,2.0NRT,274.37,1.49,N
143,49.20203,24.33243,300.66,0.39,0.36,2022-04-15,35,1,VIIRS,n,2.0NRT,273.96,0.65,N
144,49.3204,24.12345,295.08,0.39,0.36,2022-04-15,35,1,VIIRS,n,2.0NRT,269.64,1.04,N
145,49.43744,24.12615,297.08,0.39,0.36,2022-04-15,35,1,VIIRS,n,2.0NRT,272.01,0.43,N
146,49.47194,23.98334,300.48,0.39,0.36,2022-04-15,35,1,VIIRS,n,2.0NRT,273.85,0.66,N
148,48.16649,30.61769,302.62,0.41,0.45,2022-04-15,35,1,VIIRS,n,2.0NRT,272.46,0.92,N
154,49.32993,27.23945,296.89,0.45,0.39,2022-04-15,35,1,VIIRS,n,2.0NRT,269.2,0.58,N
159,49.27945,27.73579,295.64,0.46,0.39,2022-04-15,35,1,VIIRS,n,2.0NRT,268.41,1.28,N
33316,45.48562,29.40656,332.14,0.42,0.45,2022-04-15,1019,1,VIIRS,n,2.0NRT,301.7,2.47,D
33317,45.48959,29.40473,341.07,0.42,0.45,2022-04-15,1019,1,VIIRS,n,2.0NRT,301.87,7.05,D
33318,45.48841,29.39962,342.63,0.42,0.45,2022-04-15,1019,1,VIIRS,n,2.0NRT,302.62,6.95,D
33342,47.45794,33.86139,332.99,0.41,0.37,2022-04-15,1019,1,VIIRS,n,2.0NRT,288.15,2.93,D
33343,46.91457,30.80692,337.93,0.51,0.41,2022-04-15,1019,1,VIIRS,n,2.0NRT,306.12,4.52,D
33345,48.21164,38.24823,330.17,0.4,0.37,2022-04-15,1019,1,VIIRS,n,2.0NRT,292.29,10.41,D
33352,47.40429,32.22002,335.58,0.45,0.39,2022-04-15,1019,1,VIIRS,n,2.0NRT,297.33,3.26,D
33359,48.72596,38.63408,327.94,0.41,0.37,2022-04-15,1019,1,VIIRS,n,2.0NRT,292.7,5.73,D
33373,50.51082,29.85595,332.22,0.47,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.76,5.13,D
33384,50.40424,29.21439,331.91,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.84,3.67,D
33386,50.78975,31.08283,337.35,0.43,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,302.56,24.41,D
33387,51.32603,33.90492,329.74,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.19,2.23,D
33393,51.0719,32.13232,330.8,0.41,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.83,2.64,D
33394,50.44529,28.8609,338.27,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.67,3.22,D
33395,47.31617,29.95251,334.61,0.54,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.79,3.96,D
33401,48.98369,38.40685,334.88,0.4,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,289.43,3.64,D
33402,47.73901,30.73702,343.34,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.07,4.21,D
33403,47.7426,30.73538,338.44,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.09,4.21,D
33404,48.91898,37.3015,331.54,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.15,4.27,D
33405,47.72402,29.90248,344.82,0.53,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,302.19,8.9,D
33406,47.72576,29.9012,345.2,0.53,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,304.25,8.86,D
33407,49.22135,38.21584,327.07,0.4,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.2,1.69,D
33414,49.56123,39.08751,330.35,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.87,2.63,D
33417,49.40274,37.3261,336.31,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.83,4.58,D
33423,49.66858,38.41661,333.11,0.41,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.31,15.09,D
33425,48.43694,30.54906,333.19,0.49,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.53,3.07,D
33427,48.63037,30.60412,334.53,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,303.42,7.24,D
33428,48.62907,30.59775,330.68,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,302.09,7.24,D
33429,48.63393,30.60248,334.1,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.97,7.24,D
33430,48.63263,30.5961,332.41,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,302.91,7.24,D
33431,48.90976,31.63728,333.29,0.44,0.39,2022-04-15,1021,1,VIIRS,n,2.0NRT,289.69,4.09,D
33434,49.14178,32.38701,340.37,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.61,4.03,D
33436,49.91185,36.49146,326.71,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.09,1.46,D
33438,48.47207,28.54459,339.92,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,303.3,3.65,D
33440,48.49909,27.8271,343.51,0.41,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,305.15,8.74,D
33441,48.49791,27.82624,340.49,0.41,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,305.45,5.63,D
33445,50.14577,36.26481,329.51,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,294.86,1.81,D
33446,48.54942,27.74502,341.12,0.41,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.87,2.58,D
33450,50.26358,36.5127,331.37,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,294.34,2.71,D
33451,48.44281,26.91356,341.12,0.45,0.47,2022-04-15,1021,1,VIIRS,n,2.0NRT,303.13,3.94,D
33452,49.57963,32.09574,341.52,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.95,4.8,D
33453,48.64133,27.59679,339.72,0.42,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.1,1.73,D
33454,48.1591,25.52243,332.91,0.52,0.5,2022-04-15,1021,1,VIIRS,n,2.0NRT,299,4.12,D
33455,48.14145,25.43374,325.65,0.53,0.5,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.63,2.12,D
33456,50.25149,35.77866,332.2,0.38,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.61,3.16,D
33457,48.15969,25.52243,334.8,0.52,0.5,2022-04-15,1021,1,VIIRS,n,2.0NRT,299.34,4.23,D
33458,48.14161,25.43402,327.61,0.53,0.5,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.28,3.57,D
33459,48.23536,25.73882,329.69,0.51,0.49,2022-04-15,1021,1,VIIRS,n,2.0NRT,299.68,1.39,D
33462,48.41229,26.09477,331.3,0.49,0.48,2022-04-15,1021,1,VIIRS,n,2.0NRT,303.64,3.43,D
33463,48.86589,27.9851,333.39,0.4,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.81,4.71,D
33464,48.86474,27.98004,336.23,0.4,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.47,6.8,D
33465,50.37514,35.80392,330.34,0.38,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,287.62,4.29,D
33466,50.37434,35.79858,329.04,0.38,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,289.46,4.86,D
33467,50.38398,35.84005,339.79,0.38,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.34,5.56,D
33468,49.23086,29.02138,338.96,0.53,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.25,5.47,D
33469,48.87502,27.36908,330.87,0.42,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.72,1.5,D
33470,49.22741,28.61071,334.14,0.55,0.43,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.85,3.56,D
33473,50.29206,33.62523,336.34,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.08,3.27,D
33474,50.29115,33.61983,330.38,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.45,2.69,D
33476,48.52911,25.00832,329.65,0.54,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.35,1.64,D
33477,50.04979,31.57545,345.4,0.43,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,292,6.86,D
33478,49.02909,26.73917,335.92,0.44,0.46,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.94,2.16,D
33479,49.87861,30.57577,335.17,0.46,0.39,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.3,3.95,D
33480,49.88208,30.5741,328.21,0.46,0.39,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.04,3.95,D
33481,49.87624,30.57557,331.05,0.46,0.39,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.22,5.26,D
33482,49.02833,26.73779,339.75,0.44,0.46,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.9,2.77,D
33485,49.36864,27.87903,344.21,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.31,4.62,D
33486,49.36748,27.87395,342.48,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.52,4.62,D
33487,49.36632,27.86889,346.21,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.17,4.66,D
33488,48.18723,23.22598,347.33,0.33,0.55,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.87,3.87,D
33489,49.37362,27.88205,334.53,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.71,2.43,D
33490,49.37246,27.87697,347.19,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,298.74,4.62,D
33491,48.58651,24.61654,329.41,0.56,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.88,6.25,D
33492,48.59276,24.62087,333.63,0.56,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.51,5.43,D
33493,48.59901,24.62519,338.09,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,288.71,7.52,D
33494,48.59716,24.61819,330.42,0.56,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.39,7.52,D
33495,48.60339,24.62246,353.38,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.42,7.52,D
33496,50.22529,31.82067,329.29,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,294.92,2.34,D
33497,48.60147,24.62449,338.08,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.53,6.05,D
33498,48.59961,24.61752,339.82,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.51,10.02,D
33499,48.60587,24.62178,335.08,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.39,6.05,D
33501,48.63892,24.59228,334.3,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,289.34,4.53,D
33502,48.71813,24.64115,325.95,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,283.5,3.09,D
33503,50.76241,34.27545,329.5,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.74,1.67,D
33504,48.73668,24.66192,331.75,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,280.62,3.89,D
33505,48.76339,24.68591,329.22,0.55,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,276.44,3.92,D
33506,48.79437,24.70718,337.23,0.54,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,276.79,6.31,D
33507,48.79255,24.70028,341.3,0.54,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,280.2,9.67,D
33508,48.79873,24.70453,327.1,0.54,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,277.68,4.77,D
33509,48.79692,24.69764,331.61,0.54,0.51,2022-04-15,1021,1,VIIRS,n,2.0NRT,277.21,3.98,D
33511,49.71419,28.3725,336.02,0.55,0.43,2022-04-15,1021,1,VIIRS,n,2.0NRT,299.34,7.96,D
33512,50.05085,29.93439,332.02,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.11,2.89,D
33513,50.05437,29.93265,333.85,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.36,4.96,D
33515,49.93019,29.25904,353.3,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,305.83,29.2,D
33517,50.06278,29.82161,337.57,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.25,3.67,D
33518,49.15221,25.64895,343.01,0.48,0.48,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.7,5.2,D
33519,49.45805,26.80119,341.09,0.43,0.46,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.96,4.77,D
33521,49.9951,29.12805,333.9,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.44,3.74,D
33522,49.81269,28.23111,335.14,0.55,0.43,2022-04-15,1021,1,VIIRS,n,2.0NRT,301.59,1.91,D
33525,49.77196,27.82888,349.38,0.38,0.43,2022-04-15,1021,1,VIIRS,n,2.0NRT,304.06,23.88,D
33526,50.10548,29.2498,333.24,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,299.41,6.67,D
33527,50.10406,29.24307,340.81,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.16,6.67,D
33528,50.10908,29.24796,336.04,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,298.69,6.67,D
33529,50.2014,29.61288,330.5,0.49,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.94,1.82,D
33531,49.83606,27.70644,334.21,0.39,0.44,2022-04-15,1021,1,VIIRS,n,2.0NRT,300.52,3.24,D
33532,50.19342,29.26419,332.41,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,304.04,26.18,D
33533,50.19199,29.25749,329.5,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.13,10.03,D
33535,50.2369,29.33835,335.34,0.5,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.83,5.76,D
33536,50.78437,31.99175,330.01,0.41,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.33,1.8,D
33538,50.78873,31.99592,330.1,0.41,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.95,2.86,D
33539,50.78769,31.99023,330.68,0.41,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,293.19,3.3,D
33542,49.80086,26.90167,330.69,0.41,0.45,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.41,1.74,D
33543,49.6252,26.17232,340.36,0.45,0.47,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.01,6.67,D
33547,50.39729,28.63938,328.77,0.52,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.06,2.13,D
33548,50.45038,28.86585,332.88,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,295.47,14.39,D
33549,50.44891,28.859,341.38,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,298.6,16.61,D
33555,50.52922,28.91591,331.77,0.51,0.41,2022-04-15,1021,1,VIIRS,n,2.0NRT,296.76,4.5,D
33556,51.02631,31.2969,331.03,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,289.92,2.24,D
33557,51.02445,31.29559,332.55,0.42,0.38,2022-04-15,1021,1,VIIRS,n,2.0NRT,291.1,1.6,D
33560,50.61973,29.20483,336.73,0.49,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,294.29,3.9,D
33563,50.51673,28.42533,327.93,0.53,0.42,2022-04-15,1021,1,VIIRS,n,2.0NRT,297.12,4.82,D
33564,50.73531,29.43822,327.7,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,294.46,3.67,D
33565,50.7402,29.44296,329.15,0.48,0.4,2022-04-15,1021,1,VIIRS,n,2.0NRT,292.53,4.71,D
33566,51.46445,32.91703,329.82,0.39,0.36,2022-04-15,1021,1,VIIRS,n,2.0NRT,291.29,2.4,D
33571,51.47725,32.72626,335.41,0.4,0.37,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.09,2.79,D
33573,51.07077,30.24952,330.27,0.45,0.39,2022-04-15,1021,1,VIIRS,n,2.0NRT,290.61,2.15,D
