,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1541,47.6083,37.44912,330.55,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,290.56,7.36,D
1542,47.60682,37.44415,354.64,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,296.53,10.92,D
1543,47.60872,37.44767,343.15,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,290.62,7.67,D
1544,47.60721,37.44271,353.91,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,296.12,7.67,D
1545,47.70792,37.39279,328.25,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,292.57,2.45,D
1546,47.70646,37.38784,327.67,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,292.94,2.45,D
1547,47.70778,37.3904,331.3,0.4,0.6,2022-09-20,917,1,nominal,2.0NRT,293.13,3.15,D
1548,46.92935,34.26086,333.24,0.58,0.7,2022-09-20,917,1,nominal,2.0NRT,296.58,6.63,D
1549,46.92579,34.26307,343.31,0.58,0.7,2022-09-20,917,1,nominal,2.0NRT,295.81,3.73,D
1553,48.45998,38.77902,327.1,0.33,0.55,2022-09-20,917,1,nominal,2.0NRT,292.26,2.4,D
1557,48.42163,37.9462,353.07,0.36,0.57,2022-09-20,917,1,nominal,2.0NRT,292.3,7.38,D
1558,48.42029,37.94159,343.78,0.36,0.57,2022-09-20,917,1,nominal,2.0NRT,292.75,7.76,D
2003,46.05383,34.71779,331.91,0.39,0.44,2022-09-20,1058,1,nominal,2.0NRT,300.82,3.61,D
2012,47.2037,37.68466,335.5,0.54,0.51,2022-09-20,1058,1,nominal,2.0NRT,296.72,28.97,D
2016,47.61198,37.44358,340.05,0.53,0.5,2022-09-20,1058,1,nominal,2.0NRT,295.4,6.25,D
2018,47.8748,35.15859,353.79,0.42,0.45,2022-09-20,1058,1,nominal,2.0NRT,289.78,6.68,D
2020,49.05787,37.83881,328.24,0.57,0.52,2022-09-20,1058,1,nominal,2.0NRT,282.58,3.7,D
2034,51.38315,28.55667,335.91,0.42,0.37,2022-09-20,1100,1,nominal,2.0NRT,279.99,2.93,D
2036,51.42995,28.57036,329.3,0.42,0.37,2022-09-20,1100,1,nominal,2.0NRT,284.35,3.31,D
5046,49.18451,33.45667,298.14,0.49,0.48,2022-09-20,2312,1,nominal,2.0NRT,279.82,0.82,N
5051,48.49785,35.09658,314.94,0.41,0.45,2022-09-20,2312,1,nominal,2.0NRT,283.06,1.53,N
5052,48.47286,34.6311,298.99,0.43,0.46,2022-09-20,2312,1,nominal,2.0NRT,281.7,1.39,N
5054,47.88173,35.18879,296.14,0.4,0.44,2022-09-20,2312,1,nominal,2.0NRT,281.42,0.38,N
5055,47.8765,35.15502,321.52,0.4,0.44,2022-09-20,2312,1,nominal,2.0NRT,282.79,2.07,N
5056,47.86118,35.14107,302.37,0.4,0.44,2022-09-20,2312,1,nominal,2.0NRT,283.08,1.43,N
5057,47.87537,33.43468,298.8,0.47,0.48,2022-09-20,2312,1,nominal,2.0NRT,279.29,0.72,N
5058,47.86654,33.43321,299.22,0.47,0.48,2022-09-20,2312,1,nominal,2.0NRT,278.56,1.29,N
5818,47.87915,35.18276,303.31,0.52,0.67,2022-09-21,52,1,nominal,2.0NRT,279.13,1.38,N
5819,47.87649,35.14948,347.19,0.52,0.67,2022-09-21,52,1,nominal,2.0NRT,279.03,16.03,N
5820,47.87441,35.15567,351.11,0.52,0.67,2022-09-21,52,1,nominal,2.0NRT,284.04,20.25,N
