,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
3,50.94267,32.49336,298.24,0.57,0.69,2022-06-21,117,1,nominal,2.0NRT,286.65,0.74,N
4,50.94516,32.4951,298.73,0.57,0.69,2022-06-21,117,1,nominal,2.0NRT,287.45,0.62,N
5,49.97684,33.66693,301.04,0.68,0.74,2022-06-21,117,1,nominal,2.0NRT,286.39,0.97,N
15,48.81372,28.63028,298.25,0.48,0.65,2022-06-21,117,1,nominal,2.0NRT,286.47,0.7,N
16,48.75101,26.60714,301.33,0.4,0.6,2022-06-21,117,1,nominal,2.0NRT,288.75,0.55,N
17,48.74602,26.60355,299.98,0.4,0.6,2022-06-21,117,1,nominal,2.0NRT,288.26,0.55,N
1847,47.1825,36.96716,333.05,0.37,0.58,2022-06-21,924,1,nominal,2.0NRT,299.89,3.38,D
1848,47.45555,37.80418,367,0.34,0.56,2022-06-21,924,1,high,2.0NRT,306.36,10.53,D
1849,47.4544,37.80006,336.34,0.34,0.56,2022-06-21,924,1,nominal,2.0NRT,298.28,10.53,D
1851,47.65956,36.26274,333.61,0.39,0.59,2022-06-21,924,1,nominal,2.0NRT,301.55,2.59,D
1852,48.12032,37.76567,335.79,0.32,0.55,2022-06-21,924,1,nominal,2.0NRT,295.9,4.09,D
1853,48.57325,38.8215,335.04,0.56,0.52,2022-06-21,924,1,low,2.0NRT,307.11,7.45,D
1854,48.564,38.81767,332.43,0.56,0.52,2022-06-21,924,1,nominal,2.0NRT,305.05,7.78,D
1855,48.57035,38.82216,332.51,0.56,0.52,2022-06-21,924,1,nominal,2.0NRT,304.21,8,D
1858,48.65153,38.38672,332.11,0.58,0.52,2022-06-21,924,1,nominal,2.0NRT,297.97,5.2,D
1859,48.6496,38.37949,331.89,0.58,0.52,2022-06-21,924,1,nominal,2.0NRT,296.38,3.56,D
1861,48.57464,38.03008,331.63,0.61,0.53,2022-06-21,924,1,nominal,2.0NRT,303.48,2.95,D
1862,48.78689,38.6748,343.71,0.56,0.52,2022-06-21,924,1,nominal,2.0NRT,298.26,10.9,D
1863,46.80839,32.16222,334.51,0.61,0.71,2022-06-21,924,1,nominal,2.0NRT,299.15,12.43,D
1864,47.44707,33.92363,367,0.49,0.65,2022-06-21,924,1,high,2.0NRT,299.74,12.83,D
1865,47.44528,33.91807,342.93,0.49,0.65,2022-06-21,924,1,nominal,2.0NRT,300.97,12.35,D
1866,48.85077,38.58586,340.15,0.56,0.52,2022-06-21,924,1,nominal,2.0NRT,306.57,4.83,D
1867,48.85212,38.58505,330.8,0.56,0.52,2022-06-21,924,1,low,2.0NRT,304.55,5.24,D
1868,48.86459,38.53542,340.76,0.57,0.52,2022-06-21,924,1,nominal,2.0NRT,302.34,7.21,D
1869,48.86903,38.53268,341.79,0.57,0.52,2022-06-21,924,1,nominal,2.0NRT,301.67,13.29,D
1870,47.03134,32.2958,367,0.6,0.7,2022-06-21,924,1,high,2.0NRT,305.4,24,D
1871,47.03957,32.2986,367,0.6,0.7,2022-06-21,924,1,high,2.0NRT,301.68,39.6,D
1872,47.03716,32.29152,349.33,0.6,0.7,2022-06-21,924,1,nominal,2.0NRT,304.39,24,D
