,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27,49.01842,38.3659,298.68,0.55,0.68,2022-04-25,45,1,VIIRS,n,2.0NRT,280.57,1.77,N
28,49.01609,38.37262,314.95,0.55,0.68,2022-04-25,45,1,VIIRS,n,2.0NRT,281.55,1.77,N
29,48.4588,38.76784,299.51,0.6,0.71,2022-04-25,45,1,VIIRS,n,2.0NRT,280.34,1.12,N
30,48.28868,38.08918,296.84,0.57,0.69,2022-04-25,45,1,VIIRS,n,2.0NRT,280.31,0.64,N
31,48.2858,38.08589,297.95,0.57,0.69,2022-04-25,45,1,VIIRS,n,2.0NRT,279.76,0.96,N
34,47.83516,38.4782,297.16,0.61,0.71,2022-04-25,45,1,VIIRS,n,2.0NRT,280.64,0.88,N
35,49.18515,33.46361,312.11,0.34,0.56,2022-04-25,45,1,VIIRS,n,2.0NRT,275.96,1.13,N
36,47.86874,35.16013,298.39,0.45,0.63,2022-04-25,45,1,VIIRS,n,2.0NRT,280.79,1.34,N
40,48.53159,34.64696,322.81,0.4,0.6,2022-04-25,45,1,VIIRS,n,2.0NRT,279.07,1.59,N
48,47.8772,33.41603,295.94,0.38,0.58,2022-04-25,45,1,VIIRS,n,2.0NRT,281.82,0.91,N
50,48.53004,34.65197,296.45,0.4,0.6,2022-04-25,45,1,VIIRS,n,2.0NRT,278.79,1.59,N
51,48.52109,34.62128,295.85,0.4,0.6,2022-04-25,45,1,VIIRS,n,2.0NRT,279.79,0.58,N
52,48.47417,34.63184,297.22,0.41,0.6,2022-04-25,45,1,VIIRS,n,2.0NRT,281.11,0.8,N
19658,49.0202,38.36374,329.84,0.6,0.71,2022-04-25,854,1,VIIRS,n,2.0NRT,291.15,3.16,D
20860,48.94355,37.28627,334.43,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.57,5.66,D
20861,48.94641,37.27922,339.28,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.86,6.82,D
20862,48.9457,37.27307,343.66,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,298.5,6.82,D
20863,48.95139,37.2906,335.76,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,297.36,3.73,D
20888,45.92026,29.36739,330.95,0.46,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,297.5,3.45,D
20890,47.47855,37.98224,331.3,0.46,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,298.72,1.82,D
20891,46.6531,32.10251,333.6,0.39,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,300.36,1.84,D
20892,46.32407,29.0821,344.61,0.47,0.4,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.69,3.36,D
20893,47.49184,36.2109,331.73,0.41,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.69,1.72,D
20894,47.75139,37.8998,336.15,0.46,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,306.01,3.7,D
20895,47.752,37.89786,340.63,0.46,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,307.56,4.32,D
20906,47.45826,33.68367,334.29,0.38,0.36,2022-04-25,1034,1,VIIRS,l,2.0NRT,304.49,7.17,D
20907,47.4575,33.67865,347.51,0.38,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,305.95,7.17,D
20908,48.28592,38.08746,334.19,0.47,0.4,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.14,3.21,D
20910,48.61187,39.49305,334.25,0.54,0.42,2022-04-25,1034,1,VIIRS,n,2.0NRT,301.55,4.35,D
20911,48.79902,38.97609,334.47,0.51,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,304.24,2.92,D
20912,48.81013,38.89507,336.06,0.51,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,302.71,4.7,D
20913,48.76026,36.73991,333.07,0.44,0.38,2022-04-25,1034,1,VIIRS,n,2.0NRT,294.67,1.12,D
20914,48.87629,37.11464,335.98,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,297.34,2.53,D
20915,48.51263,34.28249,331.6,0.39,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,298.83,1.79,D
20916,48.92015,37.17856,337.47,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,301.08,3.27,D
20917,48.94782,37.29151,346.56,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,298.81,5.66,D
20921,50.17257,31.34133,333.13,0.39,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,289.87,2.82,D
20922,50.17582,31.34005,328.91,0.39,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,289.66,2.82,D
20930,51.13707,32.05284,331.71,0.38,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,293.66,9.33,D
20934,48.73999,35.35545,351.54,0.41,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,278.64,5.17,D
20936,50.12121,36.41458,332.55,0.44,0.38,2022-04-25,1034,1,VIIRS,n,2.0NRT,297.23,2.85,D
20937,49.94908,35.27262,332.14,0.41,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,295.43,4.14,D
20940,48.47335,27.2482,332.58,0.49,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,301.01,3.33,D
20941,48.47541,27.24824,330.93,0.49,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,300.6,5.03,D
20942,48.47448,27.26285,332.2,0.49,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,295.57,2.29,D
20943,48.31086,26.82166,336.88,0.51,0.41,2022-04-25,1034,1,VIIRS,n,2.0NRT,300.8,6.4,D
20944,48.97342,31.54704,329.99,0.39,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,295.31,3.17,D
20945,49.14162,36.85759,339.27,0.44,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,299.46,2.83,D
20950,47.54876,35.5798,334.76,0.4,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,303.32,2.81,D
20951,47.80629,37.39196,347.46,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,308.13,4.56,D
20953,47.96872,38.55748,338.6,0.49,0.4,2022-04-25,1034,1,VIIRS,n,2.0NRT,303.97,5.94,D
20955,47.83031,36.65557,334.71,0.43,0.38,2022-04-25,1034,1,VIIRS,n,2.0NRT,300.62,4.27,D
20956,47.455,33.68475,331.02,0.38,0.36,2022-04-25,1034,1,VIIRS,n,2.0NRT,297.52,2.8,D
20959,49.12545,37.7112,347.55,0.47,0.4,2022-04-25,1034,1,VIIRS,n,2.0NRT,294.64,52.21,D
20960,49.12184,37.71214,335.13,0.47,0.4,2022-04-25,1034,1,VIIRS,l,2.0NRT,307.75,52.21,D
20961,48.74335,35.35445,341.26,0.41,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,275.78,4.14,D
20962,48.97416,37.2511,331.02,0.45,0.39,2022-04-25,1034,1,VIIRS,n,2.0NRT,303.19,2.14,D
20963,48.73927,35.34999,331.67,0.41,0.37,2022-04-25,1034,1,VIIRS,n,2.0NRT,277.58,5.17,D
35613,49.14445,37.54688,310.79,0.62,0.54,2022-04-25,2248,1,VIIRS,n,2.0NRT,279.53,2.46,N
35614,49.1529,37.06089,298.28,0.33,0.55,2022-04-25,2248,1,VIIRS,n,2.0NRT,279.69,0.4,N
35622,48.607,39.31215,301.88,0.51,0.49,2022-04-25,2248,1,VIIRS,n,2.0NRT,282.39,1.18,N
35623,48.46653,38.75679,304.83,0.54,0.51,2022-04-25,2248,1,VIIRS,n,2.0NRT,286.63,1.92,N
35624,48.46917,38.75842,299.54,0.54,0.51,2022-04-25,2248,1,VIIRS,n,2.0NRT,285.52,1.2,N
35625,48.46449,38.75777,297.42,0.54,0.51,2022-04-25,2248,1,VIIRS,n,2.0NRT,285.03,1.44,N
35626,48.5193,34.63208,302.18,0.42,0.61,2022-04-25,2248,1,VIIRS,n,2.0NRT,282.77,1.23,N
35649,47.86963,35.16394,297.98,0.39,0.59,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.66,1.09,N
35651,47.86152,33.44718,301.69,0.47,0.64,2022-04-25,2248,1,VIIRS,n,2.0NRT,282.06,1.16,N
35652,48.47385,34.63135,298.78,0.42,0.61,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.07,1.2,N
35653,48.29,38.08519,298.98,0.58,0.52,2022-04-25,2248,1,VIIRS,n,2.0NRT,281.9,0.93,N
35655,48.16679,37.70602,295.22,0.6,0.53,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.13,0.95,N
35656,48.10086,37.92501,296.14,0.58,0.52,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.22,0.79,N
35657,48.06209,37.95323,296.15,0.58,0.52,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.33,1.01,N
35659,47.83344,38.471,295.48,0.55,0.51,2022-04-25,2248,1,VIIRS,n,2.0NRT,282.02,1.5,N
35665,47.8589,33.44788,301.31,0.47,0.64,2022-04-25,2248,1,VIIRS,n,2.0NRT,281.4,1.27,N
35667,47.62894,34.32367,296.88,0.43,0.62,2022-04-25,2248,1,VIIRS,n,2.0NRT,280.76,0.9,N
35668,47.62778,34.32389,295.47,0.43,0.62,2022-04-25,2248,1,VIIRS,n,2.0NRT,280.56,1.05,N
35669,47.55291,35.79825,305.3,0.36,0.58,2022-04-25,2248,1,VIIRS,n,2.0NRT,277.57,1.48,N
35674,47.86981,35.15859,296.46,0.39,0.59,2022-04-25,2248,1,VIIRS,n,2.0NRT,283.55,1.75,N
