,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
57,47.86677,33.42974,298.54,0.47,0.48,2022-04-26,28,1,VIIRS,n,2.0NRT,279.49,0.8,N
58,47.86237,33.44753,320.35,0.47,0.48,2022-04-26,28,1,VIIRS,n,2.0NRT,281.43,2.12,N
59,47.87532,33.41418,304.26,0.47,0.48,2022-04-26,28,1,VIIRS,n,2.0NRT,284.08,1.86,N
67,48.53311,34.64941,340.05,0.51,0.49,2022-04-26,28,1,VIIRS,n,2.0NRT,283.89,7.02,N
68,47.87035,35.16127,311.16,0.56,0.51,2022-04-26,28,1,VIIRS,n,2.0NRT,283.36,2.31,N
69,47.52833,35.34835,309.48,0.58,0.52,2022-04-26,28,1,VIIRS,n,2.0NRT,280.09,2.12,N
70,47.52811,35.34808,310.83,0.58,0.52,2022-04-26,28,1,VIIRS,n,2.0NRT,280.45,1.29,N
71,47.87971,33.39637,295.72,0.47,0.48,2022-04-26,28,1,VIIRS,n,2.0NRT,282.19,1.08,N
74,47.83429,38.47795,298.49,0.39,0.59,2022-04-26,28,1,VIIRS,n,2.0NRT,282.93,1.19,N
75,48.46294,38.75578,301.97,0.38,0.59,2022-04-26,28,1,VIIRS,n,2.0NRT,285.79,0.74,N
76,48.46787,38.75925,305.62,0.38,0.59,2022-04-26,28,1,VIIRS,n,2.0NRT,284.2,1.74,N
77,49.11506,37.59122,305.88,0.32,0.55,2022-04-26,28,1,VIIRS,n,2.0NRT,278.23,0.82,N
78,49.1443,37.5472,296.09,0.32,0.55,2022-04-26,28,1,VIIRS,n,2.0NRT,279.35,0.46,N
19318,48.86163,37.1349,344.26,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,309.14,6.04,D
19321,48.67721,38.46595,351.51,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,311.61,26.72,D
19322,48.67645,38.46077,345.4,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.51,4.63,D
19323,48.69964,38.57277,335.92,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,305.83,3.73,D
19324,48.80979,38.90853,333.87,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,301.26,4.52,D
19325,48.95531,38.94675,337.37,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.74,2.36,D
19326,48.9571,38.93509,333.28,0.39,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,305.56,3.47,D
19327,48.93785,38.23753,330.79,0.39,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,303.3,1.96,D
19328,48.91924,38.02046,343.59,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,300.89,5.88,D
19329,48.9141,37.94059,333.88,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.17,4.26,D
19330,49.07306,38.94281,336.47,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,306.48,2.56,D
19331,48.94835,37.94238,336.01,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,301.02,4.75,D
19332,49.04612,38.55988,334.05,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,298.47,3.27,D
19333,48.82339,37.08883,344.78,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.24,7.5,D
19334,49.02053,38.36001,335.27,0.39,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.7,5.27,D
19335,48.97364,37.92813,334.19,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.03,4.02,D
19336,48.84861,37.11781,338.23,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,306.26,3.83,D
19337,48.84779,37.11265,331.49,0.38,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,303.42,3.83,D
19338,48.97691,37.92701,330.99,0.38,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,301.79,4.02,D
19339,48.97613,37.92183,352.31,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,310.39,15.01,D
19340,48.97938,37.92069,337.5,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,304.92,5.62,D
19341,48.9842,37.92993,337.07,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.35,4.42,D
19400,48.86,37.12458,342.26,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.58,2.37,D
19401,48.86731,37.12737,331.01,0.38,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,303.85,2.75,D
19402,48.87138,37.13135,336.41,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.62,2.9,D
19403,49.00037,37.94616,333.39,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.41,3.65,D
19404,49.00441,37.95022,346.43,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.19,4,D
19405,48.47144,34.63108,330.76,0.42,0.37,2022-04-26,1013,1,VIIRS,n,2.0NRT,303.83,2.86,D
19408,48.91283,37.1544,335.19,0.38,0.36,2022-04-26,1013,1,VIIRS,n,2.0NRT,304.17,9.42,D
19409,48.91202,37.14925,332.29,0.38,0.36,2022-04-26,1013,1,VIIRS,l,2.0NRT,306.92,8.81,D
19518,46.25113,32.85015,335.46,0.51,0.41,2022-04-26,1013,1,VIIRS,n,2.0NRT,302.58,2.6,D
19519,46.25138,32.84891,332.19,0.51,0.41,2022-04-26,1013,1,VIIRS,l,2.0NRT,303.05,4.06,D
