,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
201,50.45937,34.17405,296.81,0.45,0.39,2022-07-16,7,1,nominal,2.0NRT,284.36,0.34,N
202,50.45989,34.1732,299.9,0.45,0.39,2022-07-16,7,1,nominal,2.0NRT,284.27,0.29,N
203,48.91817,38.39578,300.36,0.45,0.47,2022-07-16,7,1,nominal,2.0NRT,287.94,0.56,N
204,48.96666,38.08451,298.79,0.44,0.46,2022-07-16,7,1,nominal,2.0NRT,287.53,0.67,N
205,48.8912,37.56363,296.05,0.42,0.45,2022-07-16,7,1,nominal,2.0NRT,285.63,0.47,N
206,48.49657,38.81051,306.13,0.48,0.48,2022-07-16,7,1,nominal,2.0NRT,289.37,1.32,N
207,48.24929,39.72147,307.05,0.54,0.5,2022-07-16,7,1,nominal,2.0NRT,284.95,1.06,N
208,48.48303,38.7884,304.95,0.48,0.48,2022-07-16,7,1,nominal,2.0NRT,291.92,1.77,N
209,48.46637,38.7788,319.22,0.48,0.48,2022-07-16,7,1,nominal,2.0NRT,287.99,1.97,N
210,48.46692,38.75769,308.19,0.48,0.48,2022-07-16,7,1,nominal,2.0NRT,292.18,1.85,N
211,48.46276,38.75527,304.53,0.48,0.48,2022-07-16,7,1,nominal,2.0NRT,290.88,1.85,N
212,48.51752,38.44272,303.49,0.46,0.47,2022-07-16,7,1,nominal,2.0NRT,285.95,1.08,N
213,48.44498,38.31378,305.12,0.46,0.47,2022-07-16,7,1,nominal,2.0NRT,284.13,1.15,N
214,48.49523,37.92537,295.75,0.44,0.46,2022-07-16,7,1,nominal,2.0NRT,285.34,0.93,N
215,48.49386,37.93105,308,0.44,0.46,2022-07-16,7,1,nominal,2.0NRT,285.68,0.93,N
216,50.54599,26.25831,310.75,0.42,0.38,2022-07-16,7,1,nominal,2.0NRT,283.56,1.93,N
217,48.28606,38.09078,304.4,0.46,0.47,2022-07-16,7,1,nominal,2.0NRT,290.31,0.73,N
218,48.09865,37.92656,301.94,0.45,0.47,2022-07-16,7,1,nominal,2.0NRT,289.13,1.89,N
219,47.81147,37.25463,298.06,0.43,0.46,2022-07-16,9,1,nominal,2.0NRT,284.4,0.82,N
220,47.64356,37.86932,307.53,0.46,0.47,2022-07-16,9,1,nominal,2.0NRT,285.99,1.51,N
221,47.62838,36.36685,297.68,0.4,0.44,2022-07-16,9,1,nominal,2.0NRT,283.66,0.39,N
222,47.62876,36.36551,299.87,0.4,0.44,2022-07-16,9,1,nominal,2.0NRT,283.55,0.32,N
