,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
80,49.76838,36.81164,300.68,0.58,0.52,2022-07-15,28,1,nominal,2.0NRT,284.12,0.61,N
81,49.76786,36.81162,301.92,0.58,0.52,2022-07-15,28,1,nominal,2.0NRT,284.06,1.23,N
82,48.24902,39.72348,307.66,0.43,0.62,2022-07-15,28,1,nominal,2.0NRT,285.42,0.92,N
83,48.46978,38.76107,304.82,0.38,0.59,2022-07-15,28,1,nominal,2.0NRT,286.28,0.9,N
84,48.46484,38.75761,305.71,0.38,0.59,2022-07-15,28,1,nominal,2.0NRT,288.35,1.44,N
85,48.50779,38.49508,300.34,0.37,0.58,2022-07-15,28,1,nominal,2.0NRT,284.34,0.61,N
86,48.6722,37.67516,297.49,0.34,0.56,2022-07-15,28,1,nominal,2.0NRT,282.9,0.28,N
87,48.10517,39.05288,316.01,0.4,0.6,2022-07-15,28,1,nominal,2.0NRT,283.86,2,N
88,48.10369,39.05773,306.55,0.4,0.6,2022-07-15,28,1,nominal,2.0NRT,283.67,1.84,N
89,48.29002,38.09062,305.81,0.36,0.58,2022-07-15,28,1,nominal,2.0NRT,284.6,0.49,N
90,48.28514,38.08741,297.97,0.36,0.58,2022-07-15,28,1,nominal,2.0NRT,285.62,0.49,N
91,47.87955,39.12635,297.07,0.41,0.61,2022-07-15,28,1,nominal,2.0NRT,283.58,1.11,N
92,47.87798,39.13147,319.47,0.41,0.61,2022-07-15,28,1,nominal,2.0NRT,284.74,2.28,N
93,48.0995,37.92746,296.6,0.36,0.58,2022-07-15,28,1,nominal,2.0NRT,286.21,0.71,N
94,48.06165,37.95695,297.83,0.36,0.58,2022-07-15,28,1,nominal,2.0NRT,287.64,0.53,N
95,47.95719,36.89147,305.71,0.33,0.55,2022-07-15,28,1,nominal,2.0NRT,284.68,0.85,N
96,47.95248,36.88847,296.54,0.33,0.55,2022-07-15,28,1,nominal,2.0NRT,284.33,0.43,N
97,48.47128,34.63314,298.39,0.51,0.49,2022-07-15,28,1,nominal,2.0NRT,287.44,1.01,N
98,47.87604,35.15973,298.94,0.56,0.51,2022-07-15,28,1,nominal,2.0NRT,287.88,0.65,N
99,47.86977,35.16405,299.26,0.56,0.51,2022-07-15,28,1,nominal,2.0NRT,289.02,1.51,N
100,47.86018,35.14226,305.12,0.56,0.51,2022-07-15,28,1,nominal,2.0NRT,288.65,1.62,N
101,48.0601,34.24217,297.95,0.5,0.49,2022-07-15,28,1,nominal,2.0NRT,284.57,0.3,N
102,47.87469,33.41251,301.99,0.47,0.48,2022-07-15,28,1,nominal,2.0NRT,288.26,2.31,N
103,47.87028,33.43043,297.82,0.47,0.48,2022-07-15,28,1,nominal,2.0NRT,286.38,1.25,N
104,47.86882,33.43637,315.04,0.47,0.48,2022-07-15,28,1,nominal,2.0NRT,287.44,3.05,N
105,47.86613,33.42815,328.26,0.47,0.48,2022-07-15,28,1,nominal,2.0NRT,286.28,12.91,N
106,47.86467,33.4341,318.58,0.47,0.48,2022-07-15,28,1,nominal,2.0NRT,290.54,18.62,N
107,47.58878,34.2574,301.69,0.52,0.5,2022-07-15,28,1,nominal,2.0NRT,291.1,1.6,N
108,48.16718,30.61835,300.53,0.54,0.42,2022-07-15,28,1,nominal,2.0NRT,285.95,1.02,N
109,48.74905,26.60598,310.7,0.4,0.37,2022-07-15,28,1,nominal,2.0NRT,290.01,1.73,N
110,47.24796,33.37734,296.33,0.49,0.48,2022-07-15,28,1,nominal,2.0NRT,285.84,0.56,N
112,47.03822,32.27316,298.44,0.44,0.46,2022-07-15,28,1,nominal,2.0NRT,285.03,0.65,N
113,47.03894,32.27165,296.9,0.44,0.46,2022-07-15,28,1,nominal,2.0NRT,285.66,0.46,N
114,46.78437,32.37115,299.83,0.45,0.47,2022-07-15,28,1,nominal,2.0NRT,286.34,0.48,N
115,46.65914,32.52502,305.34,0.46,0.47,2022-07-15,28,1,nominal,2.0NRT,289.69,1.41,N
116,46.74714,32.10747,301.06,0.44,0.46,2022-07-15,28,1,nominal,2.0NRT,287.29,1.25,N
117,46.54247,31.75202,311.98,0.43,0.46,2022-07-15,28,1,nominal,2.0NRT,290.75,1.1,N
125,45.59926,29.54029,298.21,0.55,0.43,2022-07-15,28,1,nominal,2.0NRT,287.02,0.4,N
126,45.59898,29.29637,297.58,0.54,0.42,2022-07-15,28,1,nominal,2.0NRT,286.28,0.38,N
