,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
105,47.85907,37.48556,302.35,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.58,1.18,N
106,47.85771,37.49116,313.95,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.75,1.95,N
107,47.85367,37.48901,300.04,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.71,0.84,N
125,46.26088,35.00539,313.48,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.96,1.93,N
126,46.25706,35.00366,309.85,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.82,1.93,N
127,46.26207,35.00645,295.94,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.64,0.58,N
128,46.25825,35.00472,322.52,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,279.12,4,N
139,44.77398,33.85804,305.11,0.55,0.43,2022-09-18,9,1,nominal,2.0NRT,288.82,0.61,N
2005,46.07214,34.73425,336.54,0.45,0.47,2022-09-18,954,1,nominal,2.0NRT,297.75,3.06,D
2006,46.07624,34.73228,332.52,0.45,0.47,2022-09-18,954,1,nominal,2.0NRT,297.32,3.06,D
2007,46.07515,34.73164,348.49,0.45,0.47,2022-09-18,954,1,nominal,2.0NRT,298.46,7.43,D
2009,46.88099,36.881,330.14,0.53,0.42,2022-09-18,956,1,nominal,2.0NRT,302.56,3.48,D
2010,47.14378,37.86349,333.48,0.48,0.4,2022-09-18,956,1,nominal,2.0NRT,300.81,3.95,D
2011,47.21379,37.77211,338.18,0.48,0.4,2022-09-18,956,1,nominal,2.0NRT,303.09,4.31,D
2012,46.73013,34.69299,337.19,0.43,0.46,2022-09-18,956,1,nominal,2.0NRT,300.1,3.98,D
2013,46.79128,33.13897,339.87,0.5,0.49,2022-09-18,956,1,nominal,2.0NRT,296.52,5.52,D
2109,45.60681,28.68129,329.45,0.55,0.51,2022-09-18,1136,1,nominal,2.0NRT,298.02,3.66,D
2110,45.61155,28.68067,341.67,0.55,0.51,2022-09-18,1136,1,nominal,2.0NRT,298,6.5,D
2111,46.07235,34.7408,338.04,0.55,0.68,2022-09-18,1136,1,nominal,2.0NRT,291.55,5.31,D
2112,46.07441,34.73966,339.32,0.55,0.68,2022-09-18,1136,1,nominal,2.0NRT,291.76,9.03,D
2113,46.21332,33.54927,342.48,0.48,0.65,2022-09-18,1136,1,nominal,2.0NRT,289.33,4.26,D
2114,46.67114,35.01087,335.8,0.57,0.69,2022-09-18,1136,1,nominal,2.0NRT,293.59,6.33,D
3789,49.40313,38.17633,309.36,0.79,0.78,2022-09-18,2208,1,nominal,2.0NRT,283.5,4.42,N
3790,49.40348,38.18783,317.99,0.78,0.78,2022-09-18,2208,1,nominal,2.0NRT,284.31,4.86,N
3792,49.40222,38.1793,325.13,0.78,0.78,2022-09-18,2208,1,nominal,2.0NRT,284.3,3.73,N
3793,49.40252,38.19081,298.57,0.78,0.78,2022-09-18,2208,1,nominal,2.0NRT,284.26,3.73,N
4944,49.69789,37.63576,320.48,0.42,0.38,2022-09-18,2350,1,nominal,2.0NRT,282.98,1.66,N
4948,48.5324,34.61798,305.98,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.53,0.83,N
4949,48.47312,34.96842,296.51,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.85,0.45,N
4950,48.52076,34.6284,308.15,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,281.63,1.23,N
4951,48.47507,34.63283,295.39,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,281.61,0.36,N
4952,48.47181,34.6316,297.16,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,281.81,0.65,N
4954,47.88055,35.18819,326.71,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,282.8,2.17,N
4955,47.87965,35.19337,306.68,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,282.7,1.61,N
4956,47.87611,35.15335,305.51,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,281.83,0.59,N
4957,47.87104,35.16242,314.15,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,283.09,1.28,N
4958,47.86629,35.14955,303.8,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,285.6,0.89,N
4959,47.86063,35.14186,302.38,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,283.37,0.64,N
4960,47.85973,35.14703,296.59,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,282.37,0.64,N
4961,47.75771,35.32901,304.11,0.4,0.37,2022-09-18,2350,1,nominal,2.0NRT,281.11,0.9,N
4963,47.88166,33.39812,304.32,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.49,0.91,N
4964,47.87601,33.41214,313.66,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,284.26,1.52,N
4965,47.87521,33.41718,303.7,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,284.28,1.08,N
4966,47.87201,33.43738,310.17,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.27,1.18,N
4967,47.86796,33.44129,300.71,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,281.16,1.07,N
4968,47.86551,33.4351,318.1,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,280.75,1.07,N
4969,47.32409,34.03902,328.91,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,285.08,2.48,N
4972,47.32084,34.03784,326.62,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.82,2.48,N
4973,47.31023,34.03933,318.5,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,282.19,1.97,N
4974,47.05117,35.46356,300.77,0.41,0.37,2022-09-18,2350,1,nominal,2.0NRT,282.14,0.92,N
4976,47.24911,33.51136,295.99,0.38,0.36,2022-09-18,2350,1,nominal,2.0NRT,280.35,0.35,N
4979,46.34552,34.31062,296.82,0.39,0.36,2022-09-18,2350,1,nominal,2.0NRT,281.26,0.53,N
4994,44.77325,33.86303,305.18,0.4,0.37,2022-09-18,2352,1,nominal,2.0NRT,286.5,0.71,N
