,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
154,48.47335,34.96734,298.07,0.51,0.41,2022-10-04,7,1,nominal,2.0NRT,282.34,0.7,N
155,48.47331,34.96751,297.97,0.51,0.41,2022-10-04,7,1,nominal,2.0NRT,282.46,0.81,N
156,48.47416,34.62653,326,0.5,0.41,2022-10-04,7,1,nominal,2.0NRT,280.67,1.87,N
157,48.4728,34.63297,299.24,0.5,0.41,2022-10-04,7,1,nominal,2.0NRT,281.81,1.87,N
158,47.87659,35.15763,302.84,0.54,0.42,2022-10-04,9,1,nominal,2.0NRT,282.75,1,N
159,47.87479,35.15649,300.47,0.54,0.42,2022-10-04,9,1,nominal,2.0NRT,282.33,1.46,N
160,47.86888,35.146,295.26,0.54,0.42,2022-10-04,9,1,nominal,2.0NRT,282.68,1.14,N
161,47.86518,35.1442,313.28,0.54,0.42,2022-10-04,9,1,nominal,2.0NRT,281.83,1.14,N
162,47.87647,33.40987,303.97,0.47,0.39,2022-10-04,9,1,nominal,2.0NRT,279.48,1.27,N
163,47.8681,33.43242,300.53,0.47,0.4,2022-10-04,9,1,nominal,2.0NRT,273.11,0.85,N
164,48.16333,30.61233,307.59,0.4,0.37,2022-10-04,9,1,nominal,2.0NRT,278.48,1.31,N
165,47.42966,33.46624,296.47,0.48,0.4,2022-10-04,9,1,nominal,2.0NRT,279.65,0.63,N
166,47.22082,33.57991,296.31,0.48,0.4,2022-10-04,9,1,nominal,2.0NRT,279.51,0.56,N
167,46.73917,32.80841,309.51,0.47,0.39,2022-10-04,9,1,nominal,2.0NRT,281.83,1.39,N
2190,45.49844,29.47576,336.2,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,290.42,6.05,D
2191,45.50338,29.47524,339.6,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,295.24,6.05,D
2192,45.50292,29.46739,337.5,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,292.11,8.51,D
2193,45.50247,29.45955,337.01,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,290.67,8.51,D
2194,45.50417,29.46684,332.88,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,292.74,8.98,D
2195,45.50376,29.45899,336.64,0.61,0.53,2022-10-04,1136,1,nominal,2.0NRT,290.48,6.97,D
3190,48.48576,38.7723,295.44,0.74,0.76,2022-10-04,2210,1,nominal,2.0NRT,278.04,1.19,N
4426,49.95674,37.85971,298.54,0.43,0.38,2022-10-04,2350,1,nominal,2.0NRT,276.9,0.6,N
4427,50.01263,34.07346,296.72,0.38,0.36,2022-10-04,2350,1,nominal,2.0NRT,278.07,0.39,N
4428,49.18789,37.51165,300.59,0.43,0.38,2022-10-04,2350,1,nominal,2.0NRT,278.26,0.9,N
4429,48.47977,38.77358,306.29,0.48,0.4,2022-10-04,2350,1,nominal,2.0NRT,280.84,1.49,N
4430,48.46697,38.7607,310.09,0.48,0.4,2022-10-04,2350,1,nominal,2.0NRT,282.01,2.09,N
4431,48.46091,38.77148,296.63,0.48,0.4,2022-10-04,2350,1,nominal,2.0NRT,277.97,0.6,N
4432,48.28662,38.08654,298.82,0.46,0.39,2022-10-04,2350,1,nominal,2.0NRT,278.88,0.69,N
4433,48.22297,38.23452,300.59,0.46,0.39,2022-10-04,2350,1,nominal,2.0NRT,279.87,1.25,N
4434,48.09801,37.92361,306.42,0.45,0.39,2022-10-04,2350,1,nominal,2.0NRT,278.25,1.31,N
4435,48.09943,37.92357,308.3,0.45,0.39,2022-10-04,2350,1,nominal,2.0NRT,279.93,1.9,N
4436,48.06002,37.95132,301.75,0.46,0.39,2022-10-04,2350,1,nominal,2.0NRT,277.69,1.52,N
4437,48.07544,37.79795,313.76,0.45,0.39,2022-10-04,2350,1,nominal,2.0NRT,277.42,0.97,N
4438,48.49808,35.09951,306.54,0.39,0.36,2022-10-04,2350,1,nominal,2.0NRT,281.58,1.14,N
4439,47.83471,38.47497,299.58,0.48,0.4,2022-10-04,2350,1,nominal,2.0NRT,280.34,1.22,N
4440,48.53336,34.64532,328.56,0.39,0.36,2022-10-04,2350,1,nominal,2.0NRT,273.05,7.06,N
