,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
106,48.95364,38.50208,311.05,0.62,0.54,2022-06-08,22,1,nominal,2.0NRT,285.01,1.44,N
107,48.93764,38.50116,318.7,0.62,0.54,2022-06-08,22,1,nominal,2.0NRT,287.03,4.07,N
108,48.91401,38.42321,299.79,0.62,0.54,2022-06-08,22,1,nominal,2.0NRT,286.23,1.28,N
109,49.235,37.21467,303.2,0.54,0.51,2022-06-08,22,1,nominal,2.0NRT,285.98,1.58,N
110,49.23976,37.17743,300.55,0.54,0.51,2022-06-08,22,1,nominal,2.0NRT,284.67,1.79,N
111,49.02109,37.50901,320.67,0.56,0.52,2022-06-08,22,1,nominal,2.0NRT,282.61,1.89,N
112,49.01672,37.50608,308.89,0.56,0.52,2022-06-08,22,1,nominal,2.0NRT,281.43,1.89,N
113,48.49627,38.81097,296.69,0.33,0.55,2022-06-08,22,1,nominal,2.0NRT,285.36,0.48,N
114,48.46279,38.77491,320.91,0.33,0.55,2022-06-08,22,1,nominal,2.0NRT,284.14,2.14,N
115,48.46634,38.76234,313.05,0.33,0.55,2022-06-08,22,1,nominal,2.0NRT,289.7,1.9,N
116,48.46157,38.77921,314.19,0.33,0.55,2022-06-08,22,1,nominal,2.0NRT,284.64,2.03,N
117,48.46284,38.75507,312.91,0.33,0.55,2022-06-08,22,1,nominal,2.0NRT,288.86,2.28,N
119,48.42566,38.13808,296.31,0.62,0.54,2022-06-08,22,1,nominal,2.0NRT,283.56,1.19,N
120,50.54318,26.26328,298.75,0.38,0.36,2022-06-08,22,1,nominal,2.0NRT,287.7,0.52,N
121,47.95195,37.62734,303.91,0.61,0.53,2022-06-08,22,1,nominal,2.0NRT,282.67,1.46,N
122,48.47157,34.96646,305.15,0.45,0.47,2022-06-08,22,1,nominal,2.0NRT,288.06,0.74,N
123,48.53146,34.64883,347.99,0.44,0.46,2022-06-08,22,1,nominal,2.0NRT,289.06,9.39,N
124,48.53185,34.64822,338.97,0.44,0.46,2022-06-08,22,1,nominal,2.0NRT,290.38,10.68,N
125,48.47309,34.62737,296.94,0.44,0.46,2022-06-08,22,1,nominal,2.0NRT,286.4,1.16,N
126,48.47174,34.63296,305.36,0.44,0.46,2022-06-08,22,1,nominal,2.0NRT,289.05,1.16,N
127,47.87624,35.16117,305.45,0.48,0.48,2022-06-08,22,1,nominal,2.0NRT,287.73,0.83,N
128,47.86108,35.14584,307.01,0.48,0.48,2022-06-08,22,1,nominal,2.0NRT,290.41,2.23,N
129,47.47639,36.36581,301.56,0.56,0.51,2022-06-08,22,1,nominal,2.0NRT,284.84,1.2,N
130,47.46205,36.24694,296.61,0.55,0.51,2022-06-08,22,1,nominal,2.0NRT,284.46,0.84,N
131,47.88576,33.44633,297.84,0.41,0.45,2022-06-08,22,1,nominal,2.0NRT,287.12,0.49,N
132,47.87614,33.41236,305.89,0.41,0.45,2022-06-08,22,1,nominal,2.0NRT,290.4,1.31,N
133,47.87494,33.41755,305.97,0.41,0.45,2022-06-08,22,1,nominal,2.0NRT,290.58,1.31,N
134,47.62757,34.32533,324.19,0.45,0.47,2022-06-08,22,1,nominal,2.0NRT,287.41,3.8,N
135,47.15589,32.78669,325.32,0.4,0.44,2022-06-08,22,1,nominal,2.0NRT,286.83,3.44,N
136,47.15583,32.78507,327.99,0.4,0.44,2022-06-08,22,1,nominal,2.0NRT,283.95,4.44,N
141,46.69608,32.6152,300.85,0.4,0.44,2022-06-08,22,1,nominal,2.0NRT,282.1,0.72,N
143,46.48645,31.99331,311.47,0.38,0.43,2022-06-08,22,1,nominal,2.0NRT,277.17,1.4,N
2250,46.49199,32.11714,339.09,0.41,0.45,2022-06-08,1009,1,nominal,2.0NRT,305.66,4.58,D
2251,46.49081,32.11199,341.27,0.41,0.45,2022-06-08,1009,1,nominal,2.0NRT,306.75,4.58,D
2254,48.2499,37.69173,331.87,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,304.4,2.02,D
2255,48.31998,37.79777,332.87,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,304.17,1.67,D
2256,48.49458,38.80737,337.67,0.38,0.36,2022-06-08,1009,1,nominal,2.0NRT,311.93,6.71,D
2257,48.5165,38.23737,338.09,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,302.13,7.94,D
2258,48.51566,38.23221,331.36,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,300.07,2.93,D
2260,48.65239,38.37539,331.35,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,301.82,2.71,D
2261,48.67657,37.99674,347.5,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,311.84,5.01,D
2262,48.80104,38.6835,346.27,0.38,0.36,2022-06-08,1009,1,nominal,2.0NRT,301.9,5.7,D
2263,48.77982,38.03852,333.31,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,307.43,3.37,D
2264,48.81596,38.23923,346.22,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,307.28,5.74,D
2265,48.9269,38.58961,339.3,0.38,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.92,4.42,D
2266,48.92845,38.53439,335.18,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,306.04,2.83,D
2267,48.93252,38.53837,336.78,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,311.38,5.59,D
2268,48.9317,38.5332,355.77,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,317.74,5.59,D
2269,48.93088,38.52804,338.04,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,312.8,4,D
2270,48.9292,38.49585,345.33,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,310.08,6.13,D
2271,48.94791,38.5054,336.28,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,309.4,0.99,D
2272,48.94947,38.472,335.59,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,309.73,1.72,D
2274,48.9828,38.46522,339.59,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,311.56,3.3,D
2275,48.90973,37.84341,334.48,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,303.79,2.91,D
2276,49.02648,38.52382,334.54,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,306.3,5.29,D
2277,49.03869,38.53576,348.23,0.38,0.36,2022-06-08,1009,1,nominal,2.0NRT,316.05,11.89,D
2278,48.98936,38.14254,337.15,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.58,6.22,D
2279,49.036,38.4108,355.46,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,309.01,9.94,D
2280,49.03919,38.38768,336.29,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.96,4.38,D
2281,49.04161,38.38129,339.92,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.53,7.5,D
2282,49.04404,38.37491,336.58,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,298.2,2.22,D
2283,48.98363,38.00139,334.65,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,305.13,5.75,D
2284,48.98774,38.00537,343.36,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,313.89,5.75,D
2285,48.98603,37.99496,335.93,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,309.02,3,D
2286,48.96982,37.89615,339.49,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,311.52,4.22,D
2287,49.04498,38.18777,344.59,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,311.84,23.02,D
2288,49.03973,38.11265,331.99,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,306.91,4.76,D
2289,49.04887,38.14781,333.96,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,306.4,4.54,D
2290,49.04917,37.66814,331.66,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,303.68,1.92,D
2291,49.01677,37.47434,337.84,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,309.03,2.77,D
2292,49.03799,37.53863,339.09,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,295.04,4.1,D
2293,49.04126,37.53737,352.3,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,301.88,4.1,D
2294,49.11729,37.53959,342.56,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,310.7,16.55,D
2295,49.14241,37.6694,332.6,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,303.98,2.92,D
2296,49.14654,37.67338,331.03,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,304.66,2.92,D
2297,49.11688,37.37153,340.33,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,307.47,4.17,D
2298,49.12016,37.37025,339.2,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,304.55,4.05,D
2299,49.1867,37.35868,344.39,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,307.67,10.43,D
2300,49.17385,37.09833,333.5,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,298.4,4.46,D
2301,49.22588,37.21923,345.94,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.47,5.76,D
2302,49.22498,37.21394,331.95,0.39,0.37,2022-06-08,1009,1,low,2.0NRT,304.47,5.76,D
2303,49.22319,37.20334,339.26,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,303.29,14.21,D
2304,49.22139,37.19275,335.61,0.39,0.37,2022-06-08,1009,1,low,2.0NRT,308.73,6.72,D
2305,49.23095,37.22852,346.07,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,303.6,7.52,D
2306,49.23005,37.22324,352.29,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,308.12,7.52,D
2307,49.22916,37.21795,347.12,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,308.35,5.76,D
2308,49.23243,37.21666,337.7,0.39,0.36,2022-06-08,1009,1,nominal,2.0NRT,305.17,3.1,D
2309,49.2357,37.21538,332.77,0.39,0.36,2022-06-08,1009,1,low,2.0NRT,303.41,3.1,D
2310,49.23032,37.18356,334.39,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,301.63,1.99,D
2311,49.23359,37.18228,335.04,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,301.04,3.67,D
2312,49.23686,37.181,337.24,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,304.18,3.67,D
2313,49.23597,37.17569,336.08,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,303.14,3.67,D
2314,49.24104,37.18501,331.65,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,301.45,1.31,D
2315,49.24014,37.1797,346.32,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,309.65,4.79,D
2316,49.23923,37.1744,333.47,0.39,0.37,2022-06-08,1009,1,nominal,2.0NRT,308.09,4.79,D
2317,49.24086,37.00731,332.58,0.4,0.37,2022-06-08,1009,1,low,2.0NRT,306.22,2.79,D
2318,49.24322,37.00066,343.84,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,304.19,8.1,D
2319,49.27836,36.98082,332.22,0.4,0.37,2022-06-08,1009,1,low,2.0NRT,303.22,2.37,D
2320,49.27744,36.97549,347.78,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,313.56,7.89,D
2321,49.29348,37.04873,332.26,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,302.93,2.48,D
2322,49.29585,37.0421,332.65,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,301.61,2.48,D
2323,49.28308,36.96751,333.64,0.4,0.37,2022-06-08,1009,1,low,2.0NRT,305.47,4.93,D
2324,49.30695,36.9636,333.4,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,306.08,2.23,D
2325,49.3268,37.01831,334.98,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,300.89,2.82,D
2326,49.40684,36.98394,346.63,0.4,0.37,2022-06-08,1009,1,nominal,2.0NRT,304.62,6.35,D
2327,48.16417,30.62165,339.51,0.43,0.46,2022-06-08,1009,1,nominal,2.0NRT,302.18,3.07,D
