,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42,48.28671,38.08654,300.22,0.49,0.65,2022-05-06,39,1,VIIRS,n,2.0NRT,274.69,0.89,N
43,50.71925,29.78698,297.2,0.38,0.43,2022-05-06,39,1,VIIRS,n,2.0NRT,274.54,1.63,N
44,50.72063,29.79948,305.04,0.38,0.44,2022-05-06,39,1,VIIRS,n,2.0NRT,276.4,1.06,N
45,50.72183,29.79431,297.64,0.38,0.43,2022-05-06,39,1,VIIRS,n,2.0NRT,274.69,1.06,N
46,50.7282,29.80384,297.48,0.38,0.44,2022-05-06,39,1,VIIRS,n,2.0NRT,274.18,0.74,N
48,48.63805,38.36547,323.49,0.49,0.65,2022-05-06,39,1,VIIRS,n,2.0NRT,275.99,3.09,N
49,48.6408,38.36748,324.52,0.49,0.65,2022-05-06,39,1,VIIRS,n,2.0NRT,275.88,2.89,N
50,48.65699,38.37986,307.36,0.49,0.65,2022-05-06,39,1,VIIRS,n,2.0NRT,273.26,1.14,N
51,48.87008,38.09435,308.36,0.47,0.64,2022-05-06,39,1,VIIRS,n,2.0NRT,274.81,1.36,N
52,48.96481,38.0065,297.39,0.47,0.64,2022-05-06,39,1,VIIRS,n,2.0NRT,273.94,1.14,N
53,51.13332,30.1515,299.33,0.39,0.44,2022-05-06,39,1,VIIRS,n,2.0NRT,276.42,0.81,N
54,48.9298,38.1759,335.62,0.47,0.64,2022-05-06,39,1,VIIRS,n,2.0NRT,273.08,3.16,N
55,48.92874,38.1751,331.69,0.47,0.64,2022-05-06,39,1,VIIRS,n,2.0NRT,272.47,3.11,N
56,49.31746,36.98941,299.81,0.41,0.61,2022-05-06,39,1,VIIRS,n,2.0NRT,272.49,3.55,N
57,49.31583,36.99456,350.33,0.41,0.61,2022-05-06,39,1,VIIRS,n,2.0NRT,275.6,3.55,N
58,48.9967,38.00871,297.26,0.46,0.64,2022-05-06,39,1,VIIRS,n,2.0NRT,273.06,1.05,N
59,49.3209,36.99828,304.33,0.41,0.61,2022-05-06,39,1,VIIRS,n,2.0NRT,271.76,0.6,N
136,47.88051,33.39867,302.62,0.32,0.55,2022-05-06,39,1,VIIRS,n,2.0NRT,279.13,0.58,N
137,47.62899,34.32257,314.22,0.36,0.57,2022-05-06,39,1,VIIRS,n,2.0NRT,276.94,3.33,N
