,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
43,49.53399,37.06569,300.16,0.52,0.5,2022-06-24,22,1,nominal,2.0NRT,276.86,0.62,N
44,49.21973,37.27115,303.2,0.54,0.51,2022-06-24,22,1,nominal,2.0NRT,282.37,1.94,N
45,48.49557,38.80318,315.98,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,282.39,1.77,N
46,48.4944,38.80722,312.05,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,282.73,2.27,N
47,48.4959,38.80574,318.25,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,284.02,1.94,N
48,48.49476,38.80981,314.76,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,283.46,1.51,N
49,48.48427,38.78789,298.08,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,283.87,1.32,N
50,48.48306,38.79217,306.27,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,285.67,1.66,N
51,48.46553,38.77554,300.45,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,282.29,0.63,N
52,48.45967,38.77659,333.3,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,284.18,3.69,N
53,48.46561,38.75568,300.83,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,283.95,0.59,N
54,48.46443,38.75985,300.23,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,284.23,1.14,N
55,48.4609,38.77229,319.92,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,282.41,3.18,N
56,48.46094,38.75258,295.82,0.33,0.55,2022-06-24,22,1,nominal,2.0NRT,280.99,0.59,N
57,48.22332,38.24687,296.7,0.32,0.54,2022-06-24,22,1,nominal,2.0NRT,281.12,1.91,N
58,48.06177,37.95967,301.75,0.63,0.54,2022-06-24,22,1,nominal,2.0NRT,282.74,1.28,N
59,48.05711,37.95697,295.29,0.63,0.54,2022-06-24,22,1,nominal,2.0NRT,282.58,1,N
60,48.06204,37.95282,302.68,0.63,0.54,2022-06-24,22,1,nominal,2.0NRT,282.01,2.68,N
61,50.54414,26.25908,317.36,0.38,0.36,2022-06-24,22,1,nominal,2.0NRT,286.36,2.12,N
62,47.15905,32.78556,311.34,0.4,0.44,2022-06-24,22,1,nominal,2.0NRT,285,0.91,N
64,44.77398,33.86046,304.32,0.51,0.49,2022-06-24,22,1,nominal,2.0NRT,283.96,1.61,N
65,44.77238,33.85919,305.96,0.51,0.49,2022-06-24,22,1,nominal,2.0NRT,283.92,0.98,N
