,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
54,49.18399,33.46287,298.47,0.44,0.46,2022-09-17,28,1,nominal,2.0NRT,282.55,0.7,N
55,47.87035,35.15697,297.37,0.56,0.52,2022-09-17,28,1,nominal,2.0NRT,284.62,1.09,N
56,47.86847,35.16398,301.07,0.56,0.52,2022-09-17,28,1,nominal,2.0NRT,285.1,1.09,N
57,47.86337,35.14473,299.99,0.56,0.51,2022-09-17,28,1,nominal,2.0NRT,285.13,0.85,N
58,47.85891,35.14222,295.24,0.56,0.51,2022-09-17,28,1,nominal,2.0NRT,285.05,0.85,N
59,47.86151,35.14455,304.09,0.56,0.52,2022-09-17,28,1,nominal,2.0NRT,286.11,1.4,N
1491,45.40709,36.50994,328.29,0.41,0.37,2022-09-17,1013,1,nominal,2.0NRT,298.6,1.52,D
1499,45.74738,34.53062,340.56,0.45,0.39,2022-09-17,1013,1,nominal,2.0NRT,301.9,4.56,D
1500,45.74629,34.52493,331.65,0.45,0.39,2022-09-17,1013,1,low,2.0NRT,302.46,4.31,D
1501,45.75085,34.52924,330.95,0.45,0.39,2022-09-17,1013,1,nominal,2.0NRT,301.6,2.19,D
1502,45.74917,34.52801,340.96,0.45,0.39,2022-09-17,1013,1,nominal,2.0NRT,302.43,4.06,D
1504,46.07903,34.72046,333.18,0.44,0.39,2022-09-17,1013,1,nominal,2.0NRT,296.38,3.47,D
1505,46.25713,34.99939,339.36,0.43,0.38,2022-09-17,1013,1,nominal,2.0NRT,298.1,2.22,D
1507,46.74024,35.25681,339.34,0.42,0.38,2022-09-17,1013,1,nominal,2.0NRT,288.96,3.78,D
1508,46.74361,35.25551,336.59,0.42,0.38,2022-09-17,1013,1,nominal,2.0NRT,287.63,4.02,D
1509,46.70269,34.99289,332.34,0.43,0.38,2022-09-17,1013,1,nominal,2.0NRT,290.3,5.16,D
1510,46.70169,34.98743,331.03,0.43,0.38,2022-09-17,1013,1,nominal,2.0NRT,295.95,5.16,D
1511,46.70609,34.99156,342.13,0.43,0.38,2022-09-17,1013,1,nominal,2.0NRT,292.4,5.16,D
1512,47.71072,37.38882,330.8,0.39,0.36,2022-09-17,1013,1,nominal,2.0NRT,295.53,1.92,D
1513,48.46238,38.75424,326.24,0.39,0.36,2022-09-17,1013,1,nominal,2.0NRT,294.34,1.8,D
1514,48.89982,37.91714,327.8,0.38,0.36,2022-09-17,1013,1,nominal,2.0NRT,294.01,2.22,D
4425,47.21945,37.76772,314.5,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.52,2.44,N
4426,47.21935,37.77448,307.91,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.5,1.52,N
4427,47.21925,37.78114,311.5,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.61,1.52,N
4428,47.2134,37.76763,303.18,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.2,1.81,N
4429,47.2133,37.77437,307.15,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.7,1.27,N
4430,47.2132,37.7811,303.96,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.34,1.27,N
4432,47.21815,37.76672,310.03,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.54,1.35,N
4433,47.21802,37.77348,310.72,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.63,1.35,N
4434,47.21789,37.78019,317.48,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.33,1.63,N
4435,47.21209,37.76664,300.98,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.14,1.35,N
4436,47.21197,37.77338,308.93,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.36,1.35,N
4437,47.21184,37.78012,295.99,0.49,0.65,2022-09-17,2227,1,nominal,2.0NRT,284.29,1.63,N
4665,47.85907,37.48556,302.35,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.58,1.18,N
4666,47.85771,37.49116,313.95,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.75,1.95,N
4667,47.85367,37.48901,300.04,0.44,0.46,2022-09-18,7,1,nominal,2.0NRT,283.71,0.84,N
4685,46.26088,35.00539,313.48,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.96,1.93,N
4686,46.25706,35.00366,309.85,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.82,1.93,N
4687,46.26207,35.00645,295.94,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,278.64,0.58,N
4688,46.25825,35.00472,322.52,0.57,0.43,2022-09-18,9,1,nominal,2.0NRT,279.12,4,N
4699,44.77398,33.85804,305.11,0.55,0.43,2022-09-18,9,1,nominal,2.0NRT,288.82,0.61,N
