,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
79,48.97342,24.71227,298.15,0.41,0.45,2022-04-19,100,1,VIIRS,n,2.0NRT,271.72,0.76,N
28734,48.66088,29.61309,352.46,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,305.99,14.29,D
28735,48.49229,22.68756,339.09,0.55,0.43,2022-04-19,1045,1,VIIRS,n,2.0NRT,291.89,6.81,D
28799,47.27466,29.91328,342.76,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,295.19,5.78,D
28801,47.4939,30.64947,334,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,302.7,2.88,D
28818,48.66413,29.61194,347.1,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,297.93,14.29,D
28819,48.66333,29.60681,346.25,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,301.05,14.29,D
28820,48.45065,26.39917,331.64,0.42,0.38,2022-04-19,1045,1,VIIRS,n,2.0NRT,279.31,5.77,D
28822,48.96257,28.80743,335.14,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,297.06,8.7,D
28824,48.87901,27.46673,332.79,0.4,0.37,2022-04-19,1045,1,VIIRS,n,2.0NRT,295.8,2.94,D
28825,49.41646,30.00961,330.07,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.18,3.16,D
28826,49.20164,28.28738,343.02,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,296.05,6.93,D
28827,49.42103,29.36188,341.97,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,299.47,5.53,D
28828,49.16306,27.68945,336.42,0.39,0.37,2022-04-19,1045,1,VIIRS,n,2.0NRT,301.73,40.45,D
28829,49.17108,27.675,334.43,0.39,0.37,2022-04-19,1045,1,VIIRS,n,2.0NRT,295.26,3.76,D
28831,50.56451,28.28677,328,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,289.68,2.26,D
28832,50.59174,28.65517,328.56,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,291.89,5.32,D
28833,50.37174,28.35069,328.04,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,290.92,2.53,D
28834,50.38458,28.45286,327.78,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,290.54,1.92,D
28835,50.36525,28.35323,327.42,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,288.39,3.52,D
28837,50.21012,27.63804,328.92,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,291.65,2.4,D
28839,50.13541,28.50862,336.19,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.09,4.16,D
28840,49.31753,24.12287,336.78,0.47,0.4,2022-04-19,1045,1,VIIRS,n,2.0NRT,298.87,10.7,D
28841,49.99213,28.4506,331.74,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,295.56,5.91,D
28842,49.99298,28.45587,350.33,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,300.75,5.91,D
28843,49.99383,28.46114,349.58,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,303.57,19.63,D
28844,49.98973,28.45712,336.41,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,297.14,5.91,D
28845,49.99058,28.4624,336.05,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,301.14,19.63,D
28846,49.99142,28.46767,330.57,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,288.91,19.63,D
28847,49.98506,28.49251,331.42,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,291.52,1.39,D
28848,49.88556,28.23967,338.1,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.06,3.3,D
28849,49.87648,28.22638,332.88,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.57,3.3,D
28850,49.87323,28.22765,333.56,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.91,2.24,D
28851,49.56376,26.63201,333.42,0.41,0.37,2022-04-19,1045,1,VIIRS,n,2.0NRT,286.79,2.85,D
28852,49.56046,26.63341,331.13,0.41,0.37,2022-04-19,1045,1,VIIRS,n,2.0NRT,288.09,2.46,D
28853,50.00014,29.49398,345.17,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,296.12,6.32,D
28854,49.79694,28.35035,334.47,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,294.03,1.94,D
28855,49.93072,29.46556,342.47,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,297.69,26.19,D
28856,49.61277,27.90225,337.39,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,292.87,1.56,D
28857,48.95074,24.77296,343.6,0.46,0.39,2022-04-19,1045,1,VIIRS,n,2.0NRT,291.47,4.76,D
28864,50.7416,28.44784,333.76,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,290.3,4.22,D
28865,50.73835,28.44911,351.28,0.38,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,293.34,4.22,D
28866,50.43677,27.50607,326.22,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,294.51,1.67,D
28867,50.56366,28.28143,332.43,0.39,0.36,2022-04-19,1045,1,VIIRS,n,2.0NRT,294.62,2.26,D
50477,49.99852,28.4671,306.24,0.58,0.7,2022-04-19,2259,1,VIIRS,n,2.0NRT,269.98,2.21,N
50478,49.99851,28.45894,302.59,0.58,0.7,2022-04-19,2259,1,VIIRS,n,2.0NRT,269.6,2.31,N
50479,49.9981,28.46817,298.99,0.58,0.7,2022-04-19,2259,1,VIIRS,n,2.0NRT,270.32,1.62,N
50480,49.99806,28.46001,304.67,0.58,0.7,2022-04-19,2259,1,VIIRS,n,2.0NRT,269.76,2.6,N
