,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
6,48.7834,37.35191,300.72,0.79,0.78,2022-04-08,105,1,VIIRS,n,2.0NRT,268.51,1.39,N
7,50.34958,36.01903,297.2,0.61,0.71,2022-04-08,105,1,VIIRS,n,2.0NRT,272.78,1.34,N
52,48.5322,34.64862,307.23,0.63,0.72,2022-04-08,107,1,VIIRS,n,2.0NRT,274.39,2.75,N
26701,48.474,35.9684,327.98,0.5,0.66,2022-04-08,911,1,VIIRS,n,2.0NRT,288.95,3.63,D
26702,49.36444,38.78874,331.37,0.36,0.57,2022-04-08,911,1,VIIRS,n,2.0NRT,293.66,2.71,D
26703,49.36577,38.79319,328.07,0.36,0.57,2022-04-08,911,1,VIIRS,n,2.0NRT,293.12,2.71,D
26704,49.36217,38.80073,325.33,0.36,0.57,2022-04-08,911,1,VIIRS,n,2.0NRT,293.69,2.53,D
26739,50.16366,35.1181,325.79,0.48,0.64,2022-04-08,911,1,VIIRS,n,2.0NRT,271.17,2.47,D
26762,50.53352,34.83202,332.4,0.47,0.64,2022-04-08,911,1,VIIRS,n,2.0NRT,277.12,3.14,D
26763,50.53889,34.82798,329.29,0.47,0.64,2022-04-08,911,1,VIIRS,n,2.0NRT,280.01,3.22,D
26779,50.20238,37.271,333.07,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,295,2.95,D
26780,50.02053,36.69133,348.85,0.42,0.61,2022-04-08,911,1,VIIRS,n,2.0NRT,284.95,4.71,D
26831,48.30233,37.77409,326.75,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,288.72,4.22,D
26832,48.30405,37.77962,341.5,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,291.81,4.22,D
26836,48.64698,39.3038,367,0.36,0.58,2022-04-08,911,1,VIIRS,l,2.0NRT,325.97,98.65,D
26837,48.64833,39.30841,367,0.36,0.58,2022-04-08,911,1,VIIRS,h,2.0NRT,296.07,81.76,D
26839,48.4609,38.77596,328.06,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,291.34,1.59,D
26840,48.16628,37.91589,346.23,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,286.34,5.9,D
26842,48.18908,38.22658,334.27,0.42,0.61,2022-04-08,911,1,VIIRS,n,2.0NRT,282.47,2.39,D
26843,48.293,38.70738,344.21,0.39,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,299.34,27.47,D
26844,48.29451,38.71236,367,0.39,0.6,2022-04-08,911,1,VIIRS,h,2.0NRT,291.5,22.86,D
26846,48.16689,38.41568,325.98,0.41,0.61,2022-04-08,911,1,VIIRS,n,2.0NRT,283.59,2.15,D
26855,47.76549,37.8689,338.67,0.44,0.63,2022-04-08,911,1,VIIRS,n,2.0NRT,287.96,3.83,D
26856,48.13691,39.3722,340.27,0.37,0.58,2022-04-08,911,1,VIIRS,n,2.0NRT,293.54,4.75,D
26857,47.91375,39.07715,347.41,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,291.94,7.26,D
26858,47.9152,39.08193,355.8,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,288.99,7.26,D
26903,49.77708,38.93917,342.44,0.34,0.56,2022-04-08,911,1,VIIRS,n,2.0NRT,289.35,2.45,D
26909,49.43464,36.90243,339.67,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,291.24,3.32,D
26910,49.4722,36.90083,351.31,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,292.32,14.64,D
26911,49.47387,36.90619,356.53,0.43,0.62,2022-04-08,911,1,VIIRS,l,2.0NRT,288.35,15.3,D
26914,49.47541,36.89819,352.5,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,291.09,11.64,D
26915,49.4771,36.90349,356.09,0.43,0.62,2022-04-08,911,1,VIIRS,l,2.0NRT,286.11,11.64,D
26934,49.61692,37.01128,327.76,0.42,0.61,2022-04-08,911,1,VIIRS,n,2.0NRT,289.23,3.04,D
26949,49.59547,36.70412,332.96,0.43,0.62,2022-04-08,911,1,VIIRS,n,2.0NRT,287.91,2.82,D
26971,50.07688,37.75914,326.4,0.38,0.58,2022-04-08,911,1,VIIRS,n,2.0NRT,289.48,1.82,D
26975,49.90088,37.10178,328.38,0.41,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,292.77,2,D
26977,49.90032,37.10005,327.97,0.41,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,293.04,3.68,D
27000,48.47165,35.96941,328.89,0.5,0.66,2022-04-08,911,1,VIIRS,n,2.0NRT,290.24,3.31,D
27007,49.54851,39.58607,354.72,0.33,0.55,2022-04-08,911,1,VIIRS,n,2.0NRT,284.15,7.38,D
27008,49.54975,39.59041,352.47,0.33,0.55,2022-04-08,911,1,VIIRS,n,2.0NRT,282.31,7.38,D
27011,49.54036,39.61627,332.94,0.33,0.55,2022-04-08,911,1,VIIRS,n,2.0NRT,286.92,1.65,D
27083,48.90133,38.45765,333.46,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,282.45,2.02,D
27084,48.89638,38.46116,327.47,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,282.35,2.02,D
27085,48.89919,38.45916,338.29,0.39,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,283.14,3.43,D
27094,49.09638,39.52284,347.4,0.34,0.56,2022-04-08,911,1,VIIRS,n,2.0NRT,293.15,3.52,D
27095,49.09762,39.5271,330.27,0.34,0.56,2022-04-08,911,1,VIIRS,n,2.0NRT,293.06,3.88,D
27096,49.09164,39.52612,355.95,0.34,0.56,2022-04-08,911,1,VIIRS,n,2.0NRT,297.92,10.2,D
27097,49.0941,39.53452,328.06,0.34,0.56,2022-04-08,911,1,VIIRS,n,2.0NRT,294.21,6.48,D
27098,49.09287,39.53032,367,0.34,0.56,2022-04-08,911,1,VIIRS,h,2.0NRT,298.28,6.48,D
27101,49.0945,39.526,367,0.34,0.56,2022-04-08,911,1,VIIRS,h,2.0NRT,301.52,9.99,D
27102,49.09571,39.53024,367,0.34,0.56,2022-04-08,911,1,VIIRS,h,2.0NRT,296.69,9.99,D
27103,48.8097,38.67141,326.45,0.38,0.59,2022-04-08,911,1,VIIRS,n,2.0NRT,282.63,3.47,D
27106,48.66557,38.39357,335.47,0.39,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,289.94,2.76,D
27107,48.65471,38.37793,349.04,0.4,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,287.58,4.16,D
27108,48.64814,38.37639,333.29,0.4,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,288.74,4.16,D
27110,48.90668,39.31407,331.63,0.35,0.57,2022-04-08,911,1,VIIRS,n,2.0NRT,293.24,3.72,D
27111,48.908,39.31853,352.4,0.35,0.57,2022-04-08,911,1,VIIRS,n,2.0NRT,293.84,3.72,D
27112,48.64768,38.37902,340.24,0.4,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,288.21,2.7,D
27113,48.90677,39.31709,367,0.35,0.57,2022-04-08,911,1,VIIRS,h,2.0NRT,294.8,5.77,D
27114,48.62115,38.39181,350.13,0.4,0.6,2022-04-08,911,1,VIIRS,n,2.0NRT,291.73,5.87,D
