,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1965,47.92883,38.55233,347.41,0.38,0.43,2022-08-23,941,1,nominal,2.0NRT,311.49,8.4,D
1987,46.45091,35.29075,347.35,0.58,0.52,2022-08-23,941,1,nominal,2.0NRT,300.29,7.41,D
1988,47.14391,38.06667,334.24,0.42,0.45,2022-08-23,941,1,nominal,2.0NRT,304.22,2.42,D
1989,46.45168,35.29107,343.93,0.58,0.52,2022-08-23,941,1,nominal,2.0NRT,300.75,9.67,D
2003,47.01352,37.30593,342.95,0.45,0.47,2022-08-23,941,1,nominal,2.0NRT,302.74,14.61,D
2006,47.12811,37.77061,342.4,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,305.97,5.79,D
2007,47.0176,37.30378,347.38,0.45,0.47,2022-08-23,941,1,nominal,2.0NRT,306.99,14.61,D
2008,47.01627,37.29817,343.71,0.45,0.47,2022-08-23,941,1,nominal,2.0NRT,309.37,20.22,D
2009,47.01492,37.29255,348.25,0.45,0.47,2022-08-23,941,1,nominal,2.0NRT,304.99,20.22,D
2010,47.02039,37.29617,344.51,0.45,0.47,2022-08-23,941,1,nominal,2.0NRT,305.62,6.64,D
2011,47.1298,37.73949,367,0.43,0.46,2022-08-23,941,1,high,2.0NRT,311.08,17.69,D
2012,47.13108,37.74493,351.9,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,308.21,10.42,D
2013,47.13435,37.68202,351.35,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,306.41,5.35,D
2014,47.13308,37.67654,344.75,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,306,6.41,D
2016,47.13837,37.67994,346.66,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,319.79,168.21,D
2017,47.1358,37.6689,330.7,0.43,0.46,2022-08-23,941,1,low,2.0NRT,304.83,137.95,D
2018,47.13708,37.67442,367,0.43,0.46,2022-08-23,941,1,low,2.0NRT,348.97,137.95,D
2024,47.18583,37.72673,339.45,0.43,0.46,2022-08-23,941,1,nominal,2.0NRT,305.33,2.3,D
2025,46.97043,36.81604,339.18,0.48,0.48,2022-08-23,941,1,nominal,2.0NRT,303.83,7.31,D
2026,46.97317,36.80799,342.22,0.48,0.48,2022-08-23,941,1,nominal,2.0NRT,304.83,7.31,D
2027,46.71166,35.61522,342.96,0.55,0.51,2022-08-23,941,1,nominal,2.0NRT,303.35,13.8,D
2028,46.86543,35.73074,335.18,0.54,0.51,2022-08-23,941,1,nominal,2.0NRT,302.5,3.74,D
2029,46.31734,33.59641,334.61,0.35,0.56,2022-08-23,941,1,nominal,2.0NRT,296.59,2.36,D
