,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
96,49.65139,36.74881,307.24,0.43,0.46,2022-06-19,16,1,nominal,2.0NRT,283.33,0.98,N
97,49.53297,37.06683,296.74,0.45,0.47,2022-06-19,16,1,nominal,2.0NRT,283.21,0.52,N
98,49.55706,36.62889,318.68,0.43,0.46,2022-06-19,16,1,nominal,2.0NRT,277.42,1.47,N
99,49.02149,38.62371,299.02,0.54,0.51,2022-06-19,16,1,nominal,2.0NRT,284.05,1.61,N
100,49.01901,38.61401,301.49,0.54,0.5,2022-06-19,16,1,nominal,2.0NRT,285.98,1.9,N
101,49.0172,38.62085,306.24,0.54,0.51,2022-06-19,16,1,nominal,2.0NRT,286.96,1.61,N
102,49.01472,38.61118,304.81,0.54,0.5,2022-06-19,16,1,nominal,2.0NRT,284.7,2.48,N
103,49.01292,38.61799,304.81,0.54,0.51,2022-06-19,16,1,nominal,2.0NRT,286.35,1.4,N
104,49.00861,38.61524,297.38,0.54,0.51,2022-06-19,16,1,nominal,2.0NRT,285.45,1.4,N
105,50.05176,34.01381,299.34,0.5,0.41,2022-06-19,16,1,nominal,2.0NRT,282.3,0.29,N
106,48.76354,38.38915,304.76,0.53,0.5,2022-06-19,16,1,nominal,2.0NRT,282.3,1.25,N
107,48.49634,38.80942,298.29,0.57,0.52,2022-06-19,16,1,nominal,2.0NRT,283.56,1.1,N
108,48.46877,38.75861,304.24,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,285.22,2.52,N
109,48.46435,38.75587,299.4,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,285.23,1.7,N
110,48.46048,38.77016,300.82,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,284.25,1.05,N
111,48.46717,38.75858,307.65,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,285.9,1.94,N
112,48.46275,38.75583,299.72,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,284.55,1.29,N
113,48.45894,38.77021,298.18,0.56,0.52,2022-06-19,16,1,nominal,2.0NRT,283.31,1,N
