,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
1308,50.39677,29.85918,308.39,0.62,0.71,2022-03-27,130,1,VIIRS,n,2.0NRT,271.24,1.43,N
1309,51.73516,25.64544,302.86,0.38,0.59,2022-03-27,130,1,VIIRS,n,2.0NRT,270.79,1.01,N
1311,50.38969,25.75723,324.68,0.43,0.62,2022-03-27,130,1,VIIRS,n,2.0NRT,269.93,2.95,N
1312,50.38795,25.76263,309.36,0.43,0.62,2022-03-27,130,1,VIIRS,n,2.0NRT,271.69,2.69,N
1321,49.85916,24.05451,328.94,0.38,0.59,2022-03-27,130,1,VIIRS,n,2.0NRT,270.26,2.06,N
1327,48.65151,26.6074,316.5,0.53,0.67,2022-03-27,130,1,VIIRS,n,2.0NRT,271.61,1.66,N
17714,45.30952,29.65668,356.02,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,286.15,19.08,D
17717,45.30348,29.66083,356.43,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,286.79,19.08,D
17720,45.3009,29.65337,345.13,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,286.06,19.08,D
17722,45.29485,29.65753,355.95,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,283.86,21.46,D
17723,45.29744,29.66499,345.95,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,282.3,21.46,D
17724,45.28621,29.65422,356.16,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,278.11,24.84,D
17726,45.28881,29.66169,351.03,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,282.49,21.46,D
17728,45.27151,29.65506,355.06,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,284.77,32.67,D
17729,45.26546,29.65922,334.11,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,295.54,59.4,D
17730,45.2594,29.66336,356.19,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,282.46,59.4,D
17731,45.29549,29.65379,356.53,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,282.79,33.03,D
17734,45.29201,29.66548,356.75,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,282.83,48.48,D
17736,45.28085,29.65468,356.51,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,278.96,21.77,D
17738,45.28598,29.66967,345.37,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,279.75,7.71,D
17739,45.27481,29.65887,356.52,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,277.01,21.77,D
17741,45.26877,29.66306,356.36,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,279.87,50.5,D
17742,45.26273,29.66724,356.36,0.65,0.73,2022-03-27,934,1,VIIRS,l,2.0NRT,277.01,50.5,D
17743,45.26015,29.65974,351.24,0.65,0.73,2022-03-27,934,1,VIIRS,n,2.0NRT,283.08,104.69,D
17767,46.15381,33.16486,334.03,0.43,0.62,2022-03-27,934,1,VIIRS,n,2.0NRT,286.91,3.95,D
17768,46.44855,35.07673,355.9,0.34,0.56,2022-03-27,934,1,VIIRS,l,2.0NRT,283.85,19.99,D
