,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48,51.53714,31.33873,306,0.48,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,263.89,1.28,N
53,51.52324,31.35912,302.63,0.49,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,265.07,1.15,N
54,51.52977,31.3402,296.99,0.48,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,263.77,1.29,N
55,51.48531,31.27733,310.31,0.48,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,266.37,1.62,N
58,51.48352,31.27528,309.19,0.48,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,265.79,1.73,N
59,51.51884,31.37186,303.55,0.49,0.65,2022-03-17,115,1,VIIRS,n,2.0NRT,263.76,2.03,N
88,50.66407,29.82405,321.99,0.46,0.63,2022-03-17,117,1,VIIRS,n,2.0NRT,264.26,2.23,N
89,45.64035,29.20947,312.27,0.64,0.72,2022-03-17,117,1,VIIRS,n,2.0NRT,267.72,2.7,N
93,51.672,27.03098,309.34,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.68,1.2,N
97,49.74092,24.48255,296.28,0.6,0.53,2022-03-17,117,1,VIIRS,n,2.0NRT,268.55,1.02,N
98,51.04273,25.39206,297.59,0.59,0.53,2022-03-17,117,1,VIIRS,n,2.0NRT,267.75,0.98,N
108,50.21923,23.86602,295.22,0.54,0.51,2022-03-17,117,1,VIIRS,n,2.0NRT,265.84,1.05,N
112,51.67072,27.03529,296.75,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,265.75,1.2,N
113,50.58749,30.21114,306.09,0.47,0.64,2022-03-17,117,1,VIIRS,n,2.0NRT,265.17,1.18,N
114,45.63894,29.20898,312.77,0.64,0.72,2022-03-17,117,1,VIIRS,n,2.0NRT,267.48,2.55,N
115,51.66483,27.03919,312.8,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,265.03,0.98,N
116,51.67329,27.02666,312.33,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.09,1.37,N
120,51.6699,27.02184,306.76,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.33,1.32,N
121,51.66356,27.04354,306.86,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,265.15,0.98,N
122,51.66869,27.02311,316.84,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.88,1.37,N
126,51.66815,27.04393,317.32,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.03,1.32,N
141,50.63269,25.9731,312.21,0.32,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,266.77,0.97,N
145,51.66354,27.04038,305.92,0.33,0.55,2022-03-17,117,1,VIIRS,n,2.0NRT,265.13,1.32,N
14227,48.68684,35.40327,355.86,0.39,0.59,2022-03-17,924,1,VIIRS,l,2.0NRT,271.14,25.33,D
14228,48.50429,30.92821,326.34,0.6,0.71,2022-03-17,924,1,VIIRS,n,2.0NRT,275.73,3.08,D
14229,48.68538,35.39839,335.39,0.39,0.59,2022-03-17,924,1,VIIRS,n,2.0NRT,293.98,25.33,D
14230,48.58977,34.84198,337.4,0.41,0.61,2022-03-17,924,1,VIIRS,n,2.0NRT,277.92,2.93,D
14231,47.20334,30.18455,350.76,0.72,0.75,2022-03-17,924,1,VIIRS,n,2.0NRT,291.88,79.34,D
14232,48.45879,32.92276,329.2,0.5,0.66,2022-03-17,924,1,VIIRS,n,2.0NRT,279.19,2.63,D
14233,48.09238,31.84163,326.49,0.57,0.69,2022-03-17,924,1,VIIRS,n,2.0NRT,277.24,3.23,D
14234,49.00232,33.25494,330.39,0.47,0.64,2022-03-17,924,1,VIIRS,n,2.0NRT,293.32,28.48,D
14235,49.00418,33.26072,356.48,0.46,0.64,2022-03-17,924,1,VIIRS,l,2.0NRT,275.96,28.48,D
14236,48.46427,32.91877,325.27,0.5,0.66,2022-03-17,924,1,VIIRS,n,2.0NRT,277.92,2.63,D
14237,48.57809,33.02763,333.62,0.49,0.65,2022-03-17,924,1,VIIRS,n,2.0NRT,277.4,2.82,D
14238,48.58086,33.02663,333.08,0.49,0.65,2022-03-17,924,1,VIIRS,n,2.0NRT,277.68,3.55,D
14239,47.20008,30.17569,342.45,0.72,0.75,2022-03-17,924,1,VIIRS,n,2.0NRT,276,79.34,D
14240,47.20631,30.19263,356.3,0.72,0.75,2022-03-17,924,1,VIIRS,l,2.0NRT,258.23,54.98,D
14241,48.35062,33.47118,335,0.48,0.65,2022-03-17,924,1,VIIRS,n,2.0NRT,277.43,5.4,D
14242,48.34946,33.47215,336.67,0.48,0.65,2022-03-17,924,1,VIIRS,n,2.0NRT,278.07,3.95,D
14243,48.16294,30.62255,333.53,0.64,0.72,2022-03-17,924,1,VIIRS,n,2.0NRT,278.49,3.16,D
14244,49.00238,33.25507,339.94,0.46,0.64,2022-03-17,924,1,VIIRS,n,2.0NRT,294.42,50.3,D
14245,49.00426,33.26082,329.75,0.46,0.64,2022-03-17,924,1,VIIRS,n,2.0NRT,275.48,24.66,D
14246,46.11616,32.43044,328.2,0.63,0.72,2022-03-17,924,1,VIIRS,n,2.0NRT,277.06,2.91,D
14247,46.11501,32.42934,329.67,0.63,0.72,2022-03-17,924,1,VIIRS,n,2.0NRT,277.19,3.29,D
14248,46.92986,32.30692,353.86,0.6,0.71,2022-03-17,924,1,VIIRS,n,2.0NRT,282.77,7.95,D
14249,46.93089,32.30624,353.95,0.6,0.71,2022-03-17,924,1,VIIRS,n,2.0NRT,281.83,7.7,D
14250,47.62566,34.33021,330.75,0.47,0.64,2022-03-17,924,1,VIIRS,n,2.0NRT,277.98,2.29,D
14251,46.77335,33.14559,339.8,0.56,0.69,2022-03-17,924,1,VIIRS,n,2.0NRT,278.13,17.96,D
14252,46.77559,33.15223,356.39,0.56,0.69,2022-03-17,924,1,VIIRS,l,2.0NRT,281.14,17.96,D
14253,46.15466,33.07941,336.9,0.59,0.7,2022-03-17,924,1,VIIRS,n,2.0NRT,277.16,6.68,D
14263,51.31668,31.14531,330.73,0.47,0.64,2022-03-17,926,1,VIIRS,n,2.0NRT,278.69,5.22,D
14264,51.31466,31.13932,329.59,0.47,0.64,2022-03-17,926,1,VIIRS,n,2.0NRT,277.26,11.27,D
14265,51.3219,31.14086,350.13,0.47,0.64,2022-03-17,926,1,VIIRS,n,2.0NRT,278.28,5.22,D
14266,50.84771,29.71162,354.27,0.55,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,278.86,14.61,D
14274,50.84526,29.70473,353.17,0.55,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,286,14.61,D
14275,50.89453,26.11817,341.98,0.75,0.77,2022-03-17,926,1,VIIRS,n,2.0NRT,278.82,6.47,D
14276,51.51838,31.3669,329.37,0.45,0.63,2022-03-17,926,1,VIIRS,n,2.0NRT,273.96,2.27,D
14288,51.71258,26.35947,340.37,0.68,0.74,2022-03-17,926,1,VIIRS,n,2.0NRT,280.17,5.65,D
14289,51.75208,26.37793,326.01,0.67,0.74,2022-03-17,926,1,VIIRS,n,2.0NRT,278.65,4.57,D
14298,50.89271,26.117,332.12,0.75,0.77,2022-03-17,926,1,VIIRS,n,2.0NRT,279.42,8.62,D
14302,51.51647,31.36115,326.98,0.45,0.63,2022-03-17,926,1,VIIRS,n,2.0NRT,275.65,2.27,D
14305,50.62815,25.97629,330.81,0.77,0.78,2022-03-17,926,1,VIIRS,n,2.0NRT,278.85,4.25,D
14307,51.63995,31.53594,331.38,0.44,0.62,2022-03-17,926,1,VIIRS,n,2.0NRT,276.29,3.21,D
14317,50.27452,27.29594,326.08,0.71,0.75,2022-03-17,926,1,VIIRS,n,2.0NRT,274.39,8.15,D
14318,50.06512,26.61469,327.49,0.77,0.77,2022-03-17,926,1,VIIRS,n,2.0NRT,275.68,8.65,D
14320,50.5201,30.25549,325.39,0.54,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,276.25,4.59,D
14321,50.94238,31.48207,339.96,0.47,0.64,2022-03-17,926,1,VIIRS,n,2.0NRT,274.86,7.2,D
14322,51.47261,32.42399,334.03,0.41,0.61,2022-03-17,926,1,VIIRS,n,2.0NRT,278.3,2.84,D
14323,51.23871,31.31126,356.79,0.46,0.64,2022-03-17,926,1,VIIRS,l,2.0NRT,277.89,9.95,D
14324,50.71139,29.83231,327.54,0.55,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,275.74,2.25,D
14325,51.31874,31.15141,336.34,0.47,0.64,2022-03-17,926,1,VIIRS,n,2.0NRT,277.32,5.22,D
14326,50.62518,29.93176,327.59,0.55,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,275.51,5.04,D
14327,50.67334,30.00609,341.89,0.54,0.68,2022-03-17,926,1,VIIRS,n,2.0NRT,279.52,5.2,D
