,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39,50.54338,26.26273,300.31,0.34,0.56,2022-05-04,117,1,VIIRS,n,2.0NRT,279.78,0.98,N
63,51.48756,31.44481,318.19,0.49,0.65,2022-05-04,117,1,VIIRS,n,2.0NRT,278.02,1.93,N
65,51.48973,31.4385,308.02,0.49,0.65,2022-05-04,117,1,VIIRS,n,2.0NRT,277.7,1.93,N
68,49.79065,26.87891,298.57,0.38,0.58,2022-05-04,117,1,VIIRS,n,2.0NRT,275.92,0.58,N
13901,48.98906,39.46367,334.02,0.51,0.5,2022-05-04,924,1,VIIRS,n,2.0NRT,302.88,3.88,D
13987,48.03739,37.91167,350.8,0.32,0.54,2022-05-04,924,1,VIIRS,n,2.0NRT,306.69,35.56,D
13988,47.94848,37.51633,345.28,0.33,0.56,2022-05-04,924,1,VIIRS,n,2.0NRT,292.56,3.44,D
13989,48.21258,38.24412,330.39,0.61,0.53,2022-05-04,924,1,VIIRS,n,2.0NRT,299.73,4.53,D
13995,48.08219,36.61029,367,0.36,0.57,2022-05-04,924,1,VIIRS,h,2.0NRT,299.17,24.63,D
13996,48.08089,36.60577,351.51,0.36,0.57,2022-05-04,924,1,VIIRS,n,2.0NRT,296.74,16.76,D
14000,48.98763,38.51462,337.56,0.56,0.52,2022-05-04,924,1,VIIRS,n,2.0NRT,294.86,3.3,D
14001,48.98457,38.51665,329.64,0.56,0.52,2022-05-04,924,1,VIIRS,n,2.0NRT,293.81,5.29,D
14003,48.99377,38.43557,329.69,0.57,0.52,2022-05-04,924,1,VIIRS,n,2.0NRT,299.01,4.23,D
14010,48.96732,37.95147,335.87,0.6,0.53,2022-05-04,924,1,VIIRS,n,2.0NRT,294.86,9.34,D
14011,48.97639,37.94585,331.78,0.6,0.53,2022-05-04,924,1,VIIRS,n,2.0NRT,300.39,4.5,D
14013,49.43018,36.64819,355.94,0.33,0.55,2022-05-04,926,1,VIIRS,l,2.0NRT,279.72,7.34,D
14014,51.95819,32.24317,367,0.4,0.6,2022-05-04,926,1,VIIRS,h,2.0NRT,291.69,6.79,D
14063,51.32691,31.55898,329.78,0.45,0.63,2022-05-04,926,1,VIIRS,n,2.0NRT,292.92,6.4,D
14064,51.32882,31.56477,367,0.45,0.63,2022-05-04,926,1,VIIRS,h,2.0NRT,291.39,6.4,D
14065,51.03157,30.73987,347.82,0.5,0.66,2022-05-04,926,1,VIIRS,n,2.0NRT,291.55,5.43,D
14094,51.95774,32.23974,328.22,0.4,0.6,2022-05-04,926,1,VIIRS,n,2.0NRT,290.18,3.53,D
14095,51.95943,32.24501,332.7,0.4,0.6,2022-05-04,926,1,VIIRS,n,2.0NRT,289.23,4.35,D
14120,50.55115,26.28971,326.3,0.76,0.77,2022-05-04,926,1,VIIRS,n,2.0NRT,288.96,5.73,D
14128,49.81518,38.68004,330.68,0.52,0.5,2022-05-04,926,1,VIIRS,n,2.0NRT,299.03,3.93,D
14132,49.42549,36.65126,356.05,0.33,0.55,2022-05-04,926,1,VIIRS,l,2.0NRT,283.37,7.34,D
14133,49.42902,36.64415,367,0.33,0.55,2022-05-04,926,1,VIIRS,h,2.0NRT,296.81,7.34,D
14134,49.64985,37.43062,342.7,0.6,0.53,2022-05-04,926,1,VIIRS,n,2.0NRT,293.69,8.97,D
14137,49.80608,37.67492,336.42,0.58,0.52,2022-05-04,926,1,VIIRS,n,2.0NRT,293.12,16.43,D
14138,49.80694,37.67593,343.62,0.58,0.52,2022-05-04,926,1,VIIRS,n,2.0NRT,294.28,9.15,D
14140,48.78473,33.84378,330.89,0.45,0.63,2022-05-04,926,1,VIIRS,n,2.0NRT,294.81,3.75,D
14147,50.02658,36.85294,331.36,0.61,0.54,2022-05-04,926,1,VIIRS,n,2.0NRT,281.98,3.52,D
14159,48.72958,31.68373,336.29,0.55,0.68,2022-05-04,926,1,VIIRS,n,2.0NRT,296.82,4.94,D
14175,49.02143,31.98692,335.52,0.52,0.67,2022-05-04,926,1,VIIRS,n,2.0NRT,290.03,6.49,D
14176,49.01591,31.98843,348.87,0.52,0.67,2022-05-04,926,1,VIIRS,n,2.0NRT,296.28,7.98,D
14290,48.66692,27.70972,355.01,0.8,0.78,2022-05-04,926,1,VIIRS,n,2.0NRT,283,12.26,D
14293,48.66806,27.7012,331.98,0.8,0.78,2022-05-04,926,1,VIIRS,n,2.0NRT,286.99,12.26,D
14350,51.51224,26.40903,345.7,0.69,0.74,2022-05-04,926,1,VIIRS,n,2.0NRT,291.01,8.16,D
14351,51.50969,26.40849,328.51,0.69,0.74,2022-05-04,926,1,VIIRS,n,2.0NRT,290.64,4.76,D
14352,51.51296,26.41695,327.07,0.69,0.74,2022-05-04,926,1,VIIRS,n,2.0NRT,289.17,4.76,D
