,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
96,48.46357,38.76941,295.38,0.7,0.75,2022-09-05,52,1,nominal,2.0NRT,277.02,1.56,N
97,48.06083,37.95076,306.91,0.67,0.73,2022-09-05,52,1,nominal,2.0NRT,278.01,1.72,N
98,48.06308,37.9551,306.9,0.67,0.73,2022-09-05,52,1,nominal,2.0NRT,279.11,1.38,N
99,47.8335,38.47351,295.51,0.71,0.75,2022-09-05,52,1,nominal,2.0NRT,277.55,1.11,N
100,47.62962,34.32388,297.39,0.49,0.65,2022-09-05,52,1,nominal,2.0NRT,280.04,0.79,N
101,47.50685,34.39135,367,0.5,0.66,2022-09-05,52,1,high,2.0NRT,285.16,6.27,N
102,47.50487,34.39734,303.38,0.5,0.66,2022-09-05,52,1,nominal,2.0NRT,285.28,6.27,N
103,47.5046,34.38767,330.85,0.5,0.66,2022-09-05,52,1,nominal,2.0NRT,283.99,7.22,N
104,47.50266,34.39368,347.81,0.5,0.66,2022-09-05,52,1,nominal,2.0NRT,285.41,8.65,N
1642,47.08802,37.46872,327.74,0.67,0.73,2022-09-05,858,1,nominal,2.0NRT,291.54,4.21,D
1644,47.08968,37.46138,329.99,0.67,0.73,2022-09-05,858,1,nominal,2.0NRT,295.26,4.73,D
1651,48.91808,37.86313,346.92,0.55,0.68,2022-09-05,900,1,nominal,2.0NRT,286.24,7.94,D
2255,46.31791,34.80421,333.54,0.41,0.37,2022-09-05,1038,1,low,2.0NRT,304.82,3.91,D
2256,46.32129,34.80329,336.74,0.41,0.37,2022-09-05,1038,1,nominal,2.0NRT,304.64,3.91,D
2257,46.32466,34.80237,341.62,0.41,0.37,2022-09-05,1038,1,nominal,2.0NRT,305.22,16.49,D
2258,46.24712,33.61509,341.51,0.39,0.36,2022-09-05,1038,1,nominal,2.0NRT,304.29,4.61,D
2268,46.85804,34.54465,331.39,0.41,0.37,2022-09-05,1038,1,low,2.0NRT,305.29,2.01,D
2269,46.74187,33.57657,332.82,0.39,0.36,2022-09-05,1038,1,nominal,2.0NRT,301.51,4.33,D
2270,46.74045,33.56643,334.65,0.39,0.36,2022-09-05,1038,1,nominal,2.0NRT,301.05,1.96,D
