,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32,51.49469,31.06814,325.11,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.49,4.2,N
33,51.35775,31.42748,300.22,0.32,0.55,2022-03-18,58,1,VIIRS,n,2.0NRT,263.98,0.54,N
43,51.53456,31.33879,307.84,0.64,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,265.12,1.7,N
45,51.53581,31.33688,315.18,0.64,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,264.39,2.32,N
47,51.20016,31.56472,324.61,0.33,0.55,2022-03-18,58,1,VIIRS,n,2.0NRT,263.41,2.6,N
48,50.87521,32.08346,318.46,0.36,0.57,2022-03-18,58,1,VIIRS,n,2.0NRT,264.02,0.89,N
49,49.90034,32.995,325.91,0.42,0.61,2022-03-18,58,1,VIIRS,n,2.0NRT,262.37,2.15,N
50,50.87044,32.07982,302.7,0.36,0.57,2022-03-18,58,1,VIIRS,n,2.0NRT,264.88,0.89,N
54,50.61947,30.36764,302.03,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.82,1.7,N
57,50.47932,30.96809,328.83,0.33,0.55,2022-03-18,58,1,VIIRS,n,2.0NRT,262.79,1.91,N
62,51.49676,31.06826,323.48,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,267.42,4.65,N
63,50.79473,24.19713,299.23,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,264.35,0.85,N
65,51.24507,31.31521,304.81,0.32,0.55,2022-03-18,58,1,VIIRS,n,2.0NRT,264.11,0.66,N
77,50.90763,24.29134,296.97,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,265.02,1.17,N
91,50.72602,24.48631,315.86,0.55,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,263.03,1.39,N
93,50.7984,24.19916,295.2,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,265.76,0.85,N
99,50.54898,30.2509,326.24,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.11,4.47,N
100,50.62179,30.35945,301.13,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.59,1.54,N
112,50.90602,24.29857,311.63,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,263.97,1.49,N
113,50.49246,29.74243,336.12,0.59,0.53,2022-03-18,58,1,VIIRS,n,2.0NRT,267.96,9.86,N
114,50.90963,24.2922,308.29,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,264.98,1.37,N
116,50.55125,30.25369,327.12,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.27,4.72,N
118,50.49694,29.74551,330.68,0.59,0.53,2022-03-18,58,1,VIIRS,n,2.0NRT,268,3.19,N
121,50.49644,30.36997,296.57,0.63,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,265.99,0.86,N
123,50.56018,30.30704,313.25,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,264.22,2.78,N
127,50.6215,30.36691,306.08,0.62,0.54,2022-03-18,58,1,VIIRS,n,2.0NRT,266.54,3.4,N
137,50.908,24.29941,304.25,0.53,0.42,2022-03-18,58,1,VIIRS,n,2.0NRT,262.94,1.37,N
155,50.21734,23.876,323.44,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,266.09,2.39,N
156,50.21522,23.87692,306.24,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,267.04,1.55,N
157,50.221,23.87802,309.53,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,263.4,2.39,N
164,50.09785,24.08796,311.74,0.55,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,264.02,2.71,N
169,48.12144,23.22927,308.2,0.56,0.43,2022-03-18,100,1,VIIRS,n,2.0NRT,270.48,1.86,N
179,46.64304,32.55109,321.43,0.52,0.67,2022-03-18,100,1,VIIRS,n,2.0NRT,262.42,3.08,N
180,49.04356,24.25514,296.38,0.39,0.44,2022-03-18,100,1,VIIRS,n,2.0NRT,262.75,0.59,N
181,49.49725,23.02576,331.7,0.52,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,265.78,2.18,N
182,49.49752,23.02624,331.89,0.52,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,265.76,2.64,N
183,49.49362,23.02389,297.49,0.52,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,263.64,2.18,N
184,49.23321,24.47143,296.56,0.39,0.44,2022-03-18,100,1,VIIRS,n,2.0NRT,264.1,0.58,N
185,49.33261,24.16955,297.28,0.57,0.43,2022-03-18,100,1,VIIRS,n,2.0NRT,263.01,2.16,N
186,49.61164,22.96434,324.34,0.51,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,265.93,2.7,N
190,49.49685,23.85098,299.45,0.55,0.43,2022-03-18,100,1,VIIRS,n,2.0NRT,264.47,0.9,N
191,49.71965,23.53408,318.77,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,266.6,2.18,N
192,49.73693,23.51189,326.12,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,267.33,2.9,N
193,47.53817,32.01994,324,0.46,0.63,2022-03-18,100,1,VIIRS,n,2.0NRT,261.7,3.45,N
198,44.42591,34.04957,323.52,0.71,0.75,2022-03-18,100,1,VIIRS,n,2.0NRT,268.13,4.56,N
206,49.34645,23.69886,313.63,0.55,0.43,2022-03-18,100,1,VIIRS,n,2.0NRT,267.33,2.3,N
207,49.31099,23.55967,302.93,0.54,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,263.93,1.11,N
210,49.69254,23.49759,297.67,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,265.94,0.84,N
213,49.62104,23.42145,295.98,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,266.56,0.67,N
214,49.61139,22.96378,321.2,0.51,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,265.31,2.7,N
215,49.34702,23.69835,317.65,0.55,0.43,2022-03-18,100,1,VIIRS,n,2.0NRT,266.74,2.3,N
216,49.72097,23.53611,321.39,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,267.29,2.89,N
217,49.04739,24.25719,296.01,0.39,0.44,2022-03-18,100,1,VIIRS,n,2.0NRT,262.64,0.36,N
223,49.49389,23.02437,297.27,0.52,0.41,2022-03-18,100,1,VIIRS,n,2.0NRT,263.69,2.64,N
225,50.22809,23.72497,298.73,0.53,0.42,2022-03-18,100,1,VIIRS,n,2.0NRT,263.24,1.51,N
13949,50.81302,30.91557,332.7,0.75,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,276.71,4.74,D
13950,51.49887,32.53331,334.9,0.61,0.71,2022-03-18,905,1,VIIRS,n,2.0NRT,277.95,5.14,D
13951,50.81049,30.91193,325.64,0.75,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,276.81,5.52,D
13952,49.87307,32.98528,345.07,0.68,0.74,2022-03-18,905,1,VIIRS,n,2.0NRT,268.84,17.64,D
13953,49.90611,32.98864,341.69,0.68,0.74,2022-03-18,905,1,VIIRS,n,2.0NRT,275.48,6.51,D
13954,50.60252,30.8899,344.31,0.76,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,279.92,7.75,D
13956,50.8485,33.45084,328.02,0.6,0.71,2022-03-18,905,1,VIIRS,n,2.0NRT,271.98,3.04,D
13957,50.44723,32.19526,346.83,0.69,0.75,2022-03-18,905,1,VIIRS,n,2.0NRT,274.16,10.76,D
13958,50.47214,30.97447,355.32,0.77,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,278.64,17.26,D
13959,50.60387,30.88794,337.01,0.77,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,278.16,10.86,D
13960,50.44774,32.19122,335.91,0.69,0.75,2022-03-18,905,1,VIIRS,n,2.0NRT,273.94,4.55,D
13961,50.86852,32.09123,341.91,0.67,0.74,2022-03-18,905,1,VIIRS,n,2.0NRT,276.78,6.55,D
13966,49.87619,32.99353,355.88,0.68,0.74,2022-03-18,905,1,VIIRS,l,2.0NRT,268.7,20.08,D
13967,49.69037,34.19377,325.62,0.62,0.72,2022-03-18,905,1,VIIRS,n,2.0NRT,274.15,3.47,D
13968,47.85973,33.85632,350.22,0.75,0.77,2022-03-18,905,1,VIIRS,n,2.0NRT,275.26,12.91,D
13969,47.94952,33.27247,325.36,0.79,0.78,2022-03-18,905,1,VIIRS,n,2.0NRT,270.73,1.9,D
13975,51.46446,31.29775,333.88,0.68,0.74,2022-03-18,907,1,VIIRS,n,2.0NRT,275.65,6.05,D
13988,47.62912,34.33293,355.56,0.73,0.76,2022-03-18,907,1,VIIRS,n,2.0NRT,274.43,16.33,D
17417,49.86588,28.02345,329.46,0.39,0.36,2022-03-18,1045,1,VIIRS,n,2.0NRT,293.6,27.01,D
17418,51.3489,29.01086,351.38,0.38,0.36,2022-03-18,1045,1,VIIRS,n,2.0NRT,287.64,10.92,D
17420,51.34808,29.00543,355.15,0.38,0.36,2022-03-18,1045,1,VIIRS,n,2.0NRT,285.74,6.22,D
17423,51.34726,29,344.21,0.38,0.36,2022-03-18,1045,1,VIIRS,n,2.0NRT,282.56,6.22,D
17435,51.43036,26.14366,334.53,0.4,0.37,2022-03-18,1045,1,VIIRS,n,2.0NRT,283.6,2.76,D
17438,51.24294,25.57755,330.23,0.41,0.37,2022-03-18,1045,1,VIIRS,n,2.0NRT,284.64,6.56,D
17439,51.07439,24.33871,336.53,0.44,0.38,2022-03-18,1045,1,VIIRS,n,2.0NRT,291.1,25.06,D
17440,51.22227,25.6612,325.97,0.41,0.37,2022-03-18,1045,1,VIIRS,n,2.0NRT,283.95,2.66,D
17442,51.58627,27.8364,333.27,0.38,0.36,2022-03-18,1045,1,VIIRS,n,2.0NRT,287.32,7.38,D
