,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
13,51.45934,29.90518,299.28,0.38,0.58,2022-09-04,109,1,nominal,2.0NRT,279.87,1.86,N
15,51.45299,29.90619,298.2,0.38,0.58,2022-09-04,109,1,nominal,2.0NRT,280.09,1.24,N
16,51.44815,29.90234,317.48,0.38,0.58,2022-09-04,109,1,nominal,2.0NRT,281.13,1.96,N
17,51.44934,29.87902,321.27,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,282.24,2.18,N
18,51.44482,29.89358,329.39,0.38,0.58,2022-09-04,109,1,nominal,2.0NRT,281.73,2.94,N
19,51.44784,29.88387,297.84,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,281.98,2.18,N
20,51.44633,29.88872,300.34,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,280.69,2.94,N
21,51.4433,29.8985,303.44,0.38,0.58,2022-09-04,109,1,nominal,2.0NRT,279.17,1.96,N
22,51.47529,29.54483,297.56,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,281.26,1.58,N
23,51.47197,29.53625,297.98,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,283.49,2.17,N
24,51.46099,29.53337,302.01,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,283.96,1.64,N
25,51.45083,29.56669,304.42,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,278.56,0.82,N
26,51.45621,29.52958,343.58,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,283.89,5.25,N
27,51.45766,29.52483,317.89,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,279.61,3.74,N
28,51.44312,29.57247,297.27,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,279.2,0.96,N
29,51.44166,29.57724,295.07,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,279.71,0.95,N
30,51.4029,29.52907,309.21,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,281.64,1.42,N
31,51.3981,29.52531,295.35,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,281.35,1.11,N
32,51.39519,29.53477,301.7,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,281.74,2.61,N
33,51.39373,29.53951,297.38,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,280.92,1.07,N
34,51.37529,29.5606,298.11,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,281.57,1.04,N
35,51.37382,29.56534,299.41,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,281.24,1.04,N
36,51.37491,29.56326,302.33,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,282.51,1.07,N
37,51.36866,29.56425,306.74,0.37,0.58,2022-09-04,109,1,nominal,2.0NRT,276.84,1.07,N
38,51.37365,29.45017,307.69,0.36,0.58,2022-09-04,109,1,nominal,2.0NRT,280.63,1.14,N
1555,45.31608,36.46988,327.6,0.53,0.67,2022-09-04,915,1,nominal,2.0NRT,288.73,2.07,D
1720,47.62002,38.43579,344.65,0.37,0.58,2022-09-04,917,1,nominal,2.0NRT,295.01,5.14,D
1798,50.95362,30.09135,340.45,0.61,0.71,2022-09-04,920,1,nominal,2.0NRT,286.88,6.22,D
1800,51.64627,31.7337,352.35,0.5,0.66,2022-09-04,920,1,nominal,2.0NRT,293.63,7.47,D
1801,51.40561,30.18037,355.48,0.58,0.7,2022-09-04,920,1,nominal,2.0NRT,289.22,9.2,D
1802,51.40895,30.18086,335.51,0.58,0.7,2022-09-04,920,1,nominal,2.0NRT,288.46,7.47,D
1803,51.40625,30.1735,329.47,0.58,0.7,2022-09-04,920,1,nominal,2.0NRT,288.84,7.52,D
2027,45.35732,36.60992,340.15,0.46,0.47,2022-09-04,1058,1,nominal,2.0NRT,296.38,3.03,D
2068,47.10198,38.12265,337.7,0.57,0.52,2022-09-04,1058,1,nominal,2.0NRT,294.91,3.94,D
2072,46.6208,30.46712,330.12,0.42,0.37,2022-09-04,1058,1,low,2.0NRT,302.97,5.5,D
2083,47.33979,37.91863,335.06,0.56,0.51,2022-09-04,1058,1,nominal,2.0NRT,295.38,7.75,D
2086,48.0024,30.42607,332.3,0.43,0.38,2022-09-04,1058,1,nominal,2.0NRT,302.52,2.25,D
2087,50.25149,31.52333,338.39,0.49,0.4,2022-09-04,1058,1,nominal,2.0NRT,297,6.24,D
