,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1246,45.28452,36.34991,334.53,0.39,0.59,2022-08-13,930,1,nominal,2.0NRT,295.38,3.37,D
1254,47.0924,37.75908,332.99,0.59,0.53,2022-08-13,930,1,nominal,2.0NRT,296.73,5.69,D
1256,46.7067,36.213,355.05,0.36,0.57,2022-08-13,930,1,nominal,2.0NRT,296.09,4.62,D
1257,46.226,34.56227,337.59,0.44,0.62,2022-08-13,930,1,nominal,2.0NRT,296.71,5.15,D
1258,46.2244,34.55703,333.71,0.44,0.62,2022-08-13,930,1,nominal,2.0NRT,296.88,3.95,D
1259,46.46401,35.29488,344.37,0.4,0.6,2022-08-13,930,1,nominal,2.0NRT,294.49,3.8,D
1260,46.83292,36.43889,341.92,0.35,0.56,2022-08-13,930,1,nominal,2.0NRT,292.27,4.54,D
1261,46.83174,36.43467,341.79,0.35,0.56,2022-08-13,930,1,nominal,2.0NRT,294.7,4.02,D
1262,46.82965,36.43977,332.27,0.35,0.56,2022-08-13,930,1,nominal,2.0NRT,293.59,4.22,D
1263,46.9911,36.56187,367,0.34,0.56,2022-08-13,930,1,high,2.0NRT,292.86,11.11,D
1264,46.66291,35.36741,367,0.39,0.59,2022-08-13,930,1,high,2.0NRT,297.36,12.23,D
1265,46.67442,35.3659,346.63,0.39,0.59,2022-08-13,930,1,nominal,2.0NRT,296.72,4.04,D
1266,46.67302,35.36116,336.48,0.39,0.59,2022-08-13,930,1,nominal,2.0NRT,297.03,4.04,D
1267,47.01637,36.51258,351.37,0.34,0.56,2022-08-13,930,1,nominal,2.0NRT,295.93,4.78,D
1295,46.48649,34.27489,344.54,0.44,0.62,2022-08-13,930,1,nominal,2.0NRT,297.77,4.96,D
1296,46.48486,34.26959,345.19,0.44,0.62,2022-08-13,930,1,nominal,2.0NRT,298.41,4.96,D
1297,47.51913,37.60316,336.29,0.59,0.53,2022-08-13,930,1,nominal,2.0NRT,300.98,5.31,D
1298,47.55993,37.57971,331.36,0.59,0.53,2022-08-13,930,1,nominal,2.0NRT,298.01,2.07,D
1299,47.05098,35.64167,353.38,0.37,0.58,2022-08-13,930,1,nominal,2.0NRT,298.15,4.15,D
1300,47.05592,35.63858,367,0.37,0.58,2022-08-13,930,1,high,2.0NRT,299.21,10.08,D
1301,47.07275,35.69726,339.33,0.37,0.58,2022-08-13,930,1,nominal,2.0NRT,298.14,4.61,D
1302,47.05723,35.64313,339.38,0.37,0.58,2022-08-13,930,1,nominal,2.0NRT,297.97,9.77,D
1303,47.06085,35.63547,367,0.37,0.58,2022-08-13,930,1,high,2.0NRT,297.46,10.08,D
1304,47.05551,35.64101,367,0.37,0.58,2022-08-13,930,1,high,2.0NRT,298.57,6.66,D
1305,47.07262,35.69942,338.24,0.37,0.58,2022-08-13,930,1,nominal,2.0NRT,297.99,3.67,D
1306,47.05419,35.63651,342.86,0.37,0.58,2022-08-13,930,1,nominal,2.0NRT,297.25,6.66,D
